"Year","DZA production Eora 199.082 (2023)","DZA consumption Eora 199.082 (2023)","DZA net_trade Eora 199.082 (2023)"
1970,15.500000,15.620880,0.120880
1971,19.200000,18.891240,-0.308760
1972,28.900000,27.364470,-1.535530
1973,38.900000,35.557350,-3.342650
1974,32.500000,29.154100,-3.345900
1975,32.600000,32.899940,0.299940
1976,39.600000,39.362380,-0.237620
1977,42.300000,45.336640,3.036640
1978,63.100000,62.739080,-0.360920
1979,46.200000,48.539990,2.339990
1980,67,62.370730,-4.629270
1981,47.100000,50.904300,3.804300
1982,41,46.852420,5.852420
1983,54.100000,56.418570,2.318570
1984,72.700000,71.568060,-1.131940
1985,74.600000,77.849440,3.249440
1986,78.300000,69.988410,-8.311590
1987,86.200000,72.107930,-14.092070
1988,86,80.816490,-5.183510
1989,81.700000,77.354080,-4.345920
1990,78.500000,64.534880,-13.965120
1991,81.200000,55.666680,-25.533320
1992,82.300000,57.598290,-24.701710
1993,84.300000,59.266000,-25.034000
1994,88,60.118640,-27.881360
1995,96.700000,62.702400,-33.997600
1996,98.100000,58.829250,-39.270750
1997,89,53.626860,-35.373140
1998,109,66.757220,-42.242780
1999,93.900000,55.641860,-38.258140
2000,89.900000,46.103880,-43.796120
2001,86.300000,46.213010,-40.086990
2002,92.100000,49.464370,-42.635630
2003,93.700000,49.270880,-44.429120
2004,90.600000,47.860260,-42.739740
2005,109,52.080680,-56.919320
2006,103,46.640460,-56.359540
2007,111,50.902590,-60.097410
2008,112,54.503270,-57.496730
2009,123,70.450920,-52.549080
2010,121,68.077790,-52.922210
2011,123,68.165680,-54.834320
2012,131,72.685450,-58.314550
2013,135,77.539120,-57.460880
2014,146,82.257190,-63.742810
2015,152,90.391820,-61.608180
2016,151,141.829300,-9.170700
2017,151,140.334000,-10.666000
2018,162.947800,145.639900,-17.307900
2019,168.683900,145.729900,-22.954000
2020,174.100200,153.940400,-20.159800
2021,178.351200,150.940000,-27.411200
2022,166.825100,144.681900,-22.143200
