"Year","AZE production Eora 199.082 (2023)","AZE production GCB 2023v26"
1970,31.100000,
1971,34.100000,
1972,36.700000,
1973,39.500000,
1974,42.200000,
1975,44.800000,
1976,46.500000,
1977,48.400000,
1978,51.700000,
1979,51.800000,
1980,53.200000,
1981,54.300000,
1982,55.100000,
1983,55.900000,
1984,55.800000,
1985,57.400000,
1986,56.900000,
1987,59.200000,
1988,60.800000,
1989,60.400000,
1990,57.100000,51.151204
1991,53,49.752200
1992,46.700000,56.174400
1993,39.400000,48.406098
1994,34.500000,41.944854
1995,36.800000,33.309350
1996,30.200000,31.242309
1997,29.200000,29.842897
1998,28.800000,31.784873
1999,28.200000,28.821594
2000,29.300000,29.765311
2001,29.200000,28.415461
2002,29.600000,28.570334
2003,31.400000,30.487388
2004,33.400000,32.253039
2005,36.200000,34.193200
2006,39.600000,34.521826
2007,30.200000,30.036785
2008,36,33.036512
2009,30.500000,29.102576
2010,30.100000,27.549051
2011,31.700000,30.209808
2012,33.200000,32.773342
2013,36.500000,33.555224
2014,38.700000,34.348425
2015,42.300000,34.682951
2016,42,34.727329
2017,41.200000,34.607043
2018,43.943870,34.575827
2019,44.992250,37.737895
2020,46.133790,36.149228
2021,47.257060,38.305048
2022,49.112880,
