"Year","ZAF production EXIOBASE 3.8.2","ZAF production OECDv2","ZAF production Eora 199.082 (2023)","ZAF production FIGARO April 2022","ZAF production GCB 2023v26"
1970,,,188,,
1971,,,201,,
1972,,,205,,
1973,,,209,,
1974,,,209,,
1975,,,207,,
1976,,,213,,
1977,,,215,,
1978,,,214,,
1979,,,235,,
1980,,,238,,
1981,,,263,,
1982,,,272,,
1983,,,275,,
1984,,,303,,
1985,,,310,,
1986,,,314,,
1987,,,313,,
1988,,,327,,
1989,,,325,,
1990,,,300,,312.930226
1991,,,310,,326.026708
1992,,,287,,301.325411
1993,,,306,,320.345312
1994,,,325,,338.697562
1995,270.511307,274.448994,346,,361.693611
1996,280.462172,284.730333,351,,363.732331
1997,295.645875,299.055744,373,,385.222743
1998,303.051025,306.511114,368,,377.262459
1999,285.370503,289.977548,366,,374.891007
2000,291.999606,297.077241,368,,378.306871
2001,279.901344,282.810882,367,,371.623973
2002,291.963619,293.777043,380,,356.523118
2003,317.966152,319.873060,403,,404.409657
2004,343.487268,335.769777,421,,449.306966
2005,348.648903,329.407017,415,,416.201202
2006,351.609971,330.801221,423,,446.770029
2007,362.791529,355.829008,450,,465.044619
2008,393.955910,384.524224,450,,495.170841
2009,388.650790,365.626523,441,,480.572472
2010,380.999577,376.508257,447,459.218711,462.999672
2011,368.035371,361.674852,462,440.240755,465.907824
2012,383.916707,,443,457.104994,458.954230
2013,397.737901,,456,468.349996,458.628224
2014,409.049635,,458,478.414967,471.865990
2015,402.514922,,447,454.873648,446.221043
2016,401.267669,,449,455.004767,456.972860
2017,405.646225,,439,463.734049,439.380134
2018,410.616227,,440.753100,461.032394,435.237186
2019,416.800542,,435.897100,465.188646,465.429264
2020,457.459310,,431.362900,378.521736,434.828632
2021,418.922554,,427.050600,,425.509833
2022,411.452346,,434.859000,,
