"Year","GRC production EXIOBASE 3.8.2","GRC production WIOD2016","GRC production OECDv2","GRC production Eora 199.082 (2023)","GRC production FIGARO April 2022","GRC production GCB 2023v26","GRC production Eurostat NAMEA"
1970,,,,28,,,
1971,,,,32,,,
1972,,,,36.200000,,,
1973,,,,42.600000,,,
1974,,,,41.900000,,,
1975,,,,44.400000,,,
1976,,,,48.400000,,,
1977,,,,52.700000,,,
1978,,,,53.900000,,,
1979,,,,57.800000,,,
1980,,,,57.700000,,,
1981,,,,56.700000,,,
1982,,,,58,,,
1983,,,,61.400000,,,
1984,,,,63.200000,,,
1985,,,,66.900000,,,
1986,,,,65.300000,,,
1987,,,,70.200000,,,
1988,,,,75.100000,,,
1989,,,,81.700000,,,
1990,,,,83.600000,,83.438040,
1991,,,,83.500000,,83.407498,
1992,,,,85.100000,,84.975654,
1993,,,,84.500000,,84.284958,
1994,,,,86.600000,,86.430258,
1995,151.035298,,75.518376,87.100000,,86.963204,
1996,152.316601,,75.465180,89.200000,,89.114955,
1997,154.805292,,76.431888,93.900000,,93.801558,
1998,160.029280,,79.955519,98.700000,,98.621793,
1999,163.813735,,80.162521,98,,97.934815,
2000,172.663923,131.928684,87.226369,103,,102.973167,
2001,170.122671,134.521591,89.299881,105,,105.361862,
2002,171.950239,135.005331,89.544699,105,,105.000510,
2003,173.003430,138.657272,93.443358,109,,109.066728,
2004,175.980445,137.952758,93.134545,110,,109.485277,
2005,183.350747,139.792221,94.854813,114,,113.888965,
2006,183.644549,138.027577,93.798507,113,,112.419545,
2007,188.602363,142.127159,97.585610,115,,114.545692,
2008,178.248488,111.112527,94.154021,111,,111.080374,120.369495
2009,168.619863,104.340533,90.026236,104,,104.319843,113.298955
2010,167.164698,97.342976,84.079641,97.400000,106.830783,97.354150,106.824562
2011,165.265498,94.531701,82.749882,94.600000,103.556061,94.505232,103.512677
2012,153.298024,91.417801,,91.500000,99.982083,91.392589,99.944847
2013,146.577974,81.722580,,81.800000,88.472270,81.713260,88.450389
2014,145.704105,78.655818,,78.700000,85.702051,78.636455,85.680266
2015,147.737736,,,75,83.660256,74.927631,83.627557
2016,146.011467,,,71.400000,81.368379,71.361001,81.360056
2017,147.470900,,,74.900000,86.624176,74.843444,86.673262
2018,143.566763,,,71.175080,85.590195,71.780902,85.557049
2019,137.887727,,,70.209580,81.029176,65.759480,80.778618
2020,138.535843,,,69.430750,67.067677,55.619770,69.771942
2021,144.679455,,,68.345470,,57.556329,71.623982
2022,147.323233,,,65.275610,,,
