"Year","COG production Eora 199.082 (2023)","COG consumption Eora 199.082 (2023)"
1970,0.586000,-0.061966
1971,0.696000,-0.240887
1972,0.678000,-0.588312
1973,1.230000,-0.345054
1974,1.630000,0.021598
1975,1.110000,0.074346
1976,1.240000,0.447018
1977,0.492000,0.473463
1978,0.335000,0.297413
1979,0.360000,0.606326
1980,0.418000,0.690677
1981,0.484000,0.748347
1982,1.360000,1.320956
1983,1.160000,0.651038
1984,1.170000,0.409429
1985,1.290000,1.586106
1986,1.080000,-1.390772
1987,1.330000,-1.330452
1988,1.510000,0.758240
1989,1.510000,1.836494
1990,1.190000,1.523099
1991,1.010000,1.385477
1992,1.280000,0.899139
1993,1.330000,-2.788214
1994,2.160000,-0.342840
1995,1.570000,1.578309
1996,1.730000,1.484199
1997,2.360000,2.063738
1998,0.802000,0.917977
1999,0.851000,0.871175
2000,1.060000,0.912339
2001,0.800000,0.833210
2002,0.616000,0.761620
2003,0.963000,1.039054
2004,1,1.115203
2005,0.990000,1.128365
2006,1.130000,1.306470
2007,1.220000,1.518320
2008,1.320000,1.793082
2009,1.750000,2.059939
2010,1.990000,2.173091
2011,2.270000,2.355814
2012,2.970000,2.696949
2013,3.080000,2.896241
2014,2.980000,2.826438
2015,2.790000,2.808722
2016,2.970000,3.858016
2017,2.980000,3.325106
2018,3.112779,4.064147
2019,3.407961,4.363306
2020,3.644652,4.595224
2021,3.841135,4.692157
2022,3.708215,4.869373
