"Year","CRI production OECDv2","CRI production Eora 199.082","CRI production GCB 2023v26","CRI consumption OECDv2","CRI consumption Eora 199.082","CRI consumption GCB 2023v26"
1990,,2.930000,2.913015,,4.672227,5.163011
1991,,3.170000,3.287914,,4.546004,5.239724
1992,,4.270000,3.741868,,7.223856,5.741288
1993,,4.270000,3.890892,,10.671678,5.767389
1994,,4.990000,5.199850,,10.652404,6.878041
1995,4.368811,4.990000,4.800770,6.663219,6.675586,6.740977
1996,4.107376,4.690000,4.686377,6.495728,12.890880,6.598294
1997,4.004712,4.670000,4.916182,6.686026,6.447020,7.089799
1998,4.480701,5.200000,5.234101,7.618673,6.746966,8.129341
1999,4.517559,5.160000,5.437766,8.107058,6.561043,9.625411
2000,4.443918,5.130000,5.393873,7.814075,6.844509,7.992956
2001,4.827266,5.550000,5.666567,8.204123,7.159992,8.111907
2002,4.932246,5.660000,6.245400,8.452583,7.278631,10.540914
2003,5.269465,6.100000,6.582545,7.902511,7.617677,9.233422
2004,5.371720,6.180000,6.841678,7.952013,7.671946,9.581977
2005,5.670370,6.320000,6.723403,8.288008,7.920514,9.520284
2006,5.865454,6.940000,7.006724,8.726237,8.674426,10.590596
2007,6.581209,7.670000,7.960740,9.406254,9.418037,12.012658
2008,6.577565,7.610000,7.989944,10.013736,9.691805,12.641122
2009,6.220604,7.330000,7.747752,8.454999,9.006402,10.449084
2010,6.507282,7.270000,7.492647,9.618175,9.570820,11.121881
2011,6.668959,7.500000,7.310815,10.692888,10.249953,12.271671
2012,,7.540000,7.260085,,10.441179,12.196033
2013,,7.910000,7.631517,,10.853857,12.171894
2014,,8.020000,7.748309,,10.853301,12.098011
2015,,7.740000,7.406021,,10.509014,12.090286
2016,,8.280000,7.855934,,10.404975,12.230984
2017,,8.400000,8.029008,,10.341316,12.356850
2018,,8.639246,8.012376,,10.599251,12.762211
2019,,8.979111,7.698382,,10.445083,12.343223
2020,,8.276542,6.763180,,10.083014,10.971217
2021,,8.529275,7.638232,,10.195926,12.262790
2022,,,,,,
