"Year","BGR production EXIOBASE 3.8.2","BGR production WIOD2016","BGR production OECDv2","BGR production Eora 199.082 (2023)","BGR production FIGARO April 2022","BGR production GCB 2023v26","BGR production Eurostat NAMEA"
1970,,,,68.900000,,,
1971,,,,71.500000,,,
1972,,,,73.600000,,,
1973,,,,75.700000,,,
1974,,,,77.400000,,,
1975,,,,79.500000,,,
1976,,,,80.100000,,,
1977,,,,82.200000,,,
1978,,,,87,,,
1979,,,,84.900000,,,
1980,,,,82.900000,,,
1981,,,,85.400000,,,
1982,,,,94.200000,,,
1983,,,,94.500000,,,
1984,,,,92.300000,,,
1985,,,,94.500000,,,
1986,,,,95.500000,,,
1987,,,,94.600000,,,
1988,,,,89.900000,,,
1989,,,,88.200000,,,
1990,,,,76.700000,,76.637986,
1991,,,,61.400000,,61.456343,
1992,,,,57.400000,,57.306464,
1993,,,,58.900000,,58.364024,
1994,,,,56.900000,,56.367039,
1995,57.307314,,53.246539,58.100000,,57.908989,
1996,57.789416,,53.915553,58.900000,,58.460097,
1997,55.562433,,51.141813,56.500000,,55.809073,
1998,52.634627,,48.804687,53.800000,,53.115147,
1999,46.536880,,42.874563,47.300000,,46.318478,
2000,45.317829,49.593497,42.315665,46.100000,,45.413457,
2001,47.790324,52.679446,44.959522,49.600000,,48.921856,
2002,45.213208,49.072235,42.177158,46.700000,,46.099354,
2003,49.508725,53.866698,46.471981,51.100000,,50.473675,
2004,49.024826,53.128324,45.633811,49.900000,,49.525775,
2005,49.762307,54.312516,46.231451,51,,50.598174,
2006,50.792212,55.343697,47.464550,52,,51.836629,
2007,54.516666,59.252810,50.726327,56.200000,,55.683720,
2008,50.749540,53.972795,48.576867,54,,54.022471,55.576992
2009,43.617445,45.707143,42.085176,45.800000,,45.759653,47.189855
2010,45.393201,47.792803,44.141685,48,49.118164,47.808404,49.115750
2011,50.286391,53.116467,49.046102,53.300000,54.424199,53.124754,54.421913
2012,45.551849,48.269492,,48.600000,49.587170,48.289982,49.584418
2013,40.480304,42.586000,,42.600000,43.782360,42.586730,43.779336
2014,42.539995,45.142471,,45.100000,46.423354,45.161790,46.471696
2015,44.811237,,,48.100000,49.651758,48.121015,49.634902
2016,42.153102,,,45.300000,47.118846,45.336946,47.098145
2017,44.310348,,,47.400000,49.267703,47.430591,49.251534
2018,41.603429,,,45.980840,45.278445,43.479638,45.253320
2019,40.132822,,,46.220010,43.882235,42.232711,43.910780
2020,40.826992,,,46.166180,39.214482,36.533613,38.409028
2021,37.239697,,,46.059180,,42.281884,43.776181
2022,43.189992,,,42.235910,,,
