"Year","GMB production Eora 199.082 (2023)","GMB consumption Eora 199.082 (2023)","GMB net_trade Eora 199.082 (2023)"
1970,0.050500,-0.308448,-0.358948
1971,0.057900,-0.582742,-0.640642
1972,0.069000,-0.996248,-1.065248
1973,0.065400,-1.233418,-1.298818
1974,0.065600,-1.225006,-1.290606
1975,0.102000,-0.744803,-0.846803
1976,0.102000,-0.426947,-0.528947
1977,0.117000,0.258830,0.141830
1978,0.143000,0.263387,0.120387
1979,0.151000,0.679989,0.528989
1980,0.162000,0.732507,0.570507
1981,0.162000,0.603383,0.441383
1982,0.166000,0.288517,0.122517
1983,0.166000,-0.238799,-0.404799
1984,0.177000,-0.446019,-0.623019
1985,0.178000,0.709248,0.531248
1986,0.167000,-2.152809,-2.319809
1987,0.185000,-2.305038,-2.490038
1988,0.189000,-0.479438,-0.668438
1989,0.185000,0.606843,0.421843
1990,0.182000,0.529989,0.347989
1991,0.186000,0.519075,0.333075
1992,0.186000,-0.215124,-0.401124
1993,0.194000,-4.011115,-4.205115
1994,0.194000,-1.990681,-2.184681
1995,0.205000,0.453973,0.248973
1996,0.205000,0.277639,0.072639
1997,0.206000,0.449145,0.243145
1998,0.221000,0.432110,0.211110
1999,0.239000,0.436091,0.197091
2000,0.254000,0.447777,0.193777
2001,0.261000,0.433752,0.172752
2002,0.298000,0.429876,0.131876
2003,0.299000,0.432710,0.133710
2004,0.306000,0.463759,0.157759
2005,0.307000,0.472896,0.165896
2006,0.318000,0.486681,0.168681
2007,0.362000,0.542461,0.180461
2008,0.377000,0.551041,0.174041
2009,0.388000,0.544721,0.156721
2010,0.439000,0.589583,0.150582
2011,0.457000,0.663718,0.206718
2012,0.461000,0.636973,0.175973
2013,0.440000,0.602878,0.162878
2014,0.520000,0.658139,0.138139
2015,0.561000,0.690354,0.129354
2016,0.601000,0.397024,-0.203976
2017,0.633000,0.374961,-0.258039
2018,0.667472,0.818919,0.151447
2019,0.712237,0.866358,0.154120
2020,0.758411,0.895876,0.137466
2021,0.807368,0.920666,0.113298
2022,0.849767,0.960742,0.110975
