"Year","VNM production OECDv2","VNM production Eora 199.082 (2023)","VNM production GCB 2023v26"
1970,,26.100000,
1971,,22.700000,
1972,,21.300000,
1973,,23.300000,
1974,,17.800000,
1975,,20.500000,
1976,,13.600000,
1977,,14.800000,
1978,,15.300000,
1979,,15.700000,
1980,,16.200000,
1981,,17.100000,
1982,,17.800000,
1983,,18.800000,
1984,,17.100000,
1985,,20.400000,
1986,,20.200000,
1987,,23,
1988,,23.100000,
1989,,18.100000,
1990,,21.600000,21.298647
1991,,21.900000,21.375535
1992,,22.100000,21.466459
1993,,23.700000,22.853002
1994,,27,27.362152
1995,27.716881,30.300000,30.088820
1996,31.005078,36.300000,35.481512
1997,36.158237,46.800000,45.502071
1998,39.860615,50.500000,47.866351
1999,40.353398,51.400000,48.548324
2000,43.923784,58.200000,53.935465
2001,48.718165,65.600000,60.983832
2002,56.811467,75.900000,69.527791
2003,60.684458,84,77.261568
2004,73.416829,96.600000,88.939183
2005,79.728764,104,95.845717
2006,82.010785,109,99.652256
2007,91.298302,111,101.429535
2008,101.794259,124,114.302698
2009,113.629310,135,124.493393
2010,129.234282,149,139.563841
2011,134.061076,160,152.560265
2012,,152,144.277151
2013,,159,151.437988
2014,,179,181.842881
2015,,206,215.461954
2016,,222,223.203933
2017,,224,229.642497
2018,,247.272300,257.722292
2019,,264.745900,341.788778
2020,,283.296500,363.342657
2021,,302.977600,352.402565
2022,,314.391100,
