"Year","BTN production Eora 199.082 (2023)","BTN consumption Eora 199.082 (2023)","BTN net_trade Eora 199.082 (2023)"
1970,0.017400,-0.289762,-0.307162
1971,0.017700,-0.533140,-0.550840
1972,0.017900,-0.870900,-0.888800
1973,0.018200,-1.038828,-1.057028
1974,0.018600,-1.042798,-1.061398
1975,0.018900,-0.678728,-0.697628
1976,0.019200,-0.476024,-0.495224
1977,0.023200,0.043493,0.020293
1978,0.027200,-0.008514,-0.035714
1979,0.038500,0.217524,0.179024
1980,0.038900,0.234751,0.195851
1981,0.046600,0.238855,0.192255
1982,0.050700,0.065579,0.014879
1983,0.051000,-0.334264,-0.385264
1984,0.069800,-0.571737,-0.641537
1985,0.081300,0.424069,0.342769
1986,0.074400,-3.223829,-3.298229
1987,0.123000,-3.404952,-3.527952
1988,0.131000,-0.933513,-1.064513
1989,0.083400,0.395378,0.311978
1990,0.150000,0.364425,0.214425
1991,0.198000,0.389080,0.191080
1992,0.228000,-0.219392,-0.447391
1993,0.214000,-3.377137,-3.591137
1994,0.228000,-1.718779,-1.946779
1995,0.301000,0.364175,0.063175
1996,0.348000,0.251143,-0.096857
1997,0.450000,0.526297,0.076297
1998,0.455000,0.479531,0.024531
1999,0.459000,0.488275,0.029275
2000,0.460000,0.451857,-0.008143
2001,0.455000,0.498873,0.043873
2002,0.502000,0.549900,0.047900
2003,0.462000,0.534657,0.072657
2004,0.393000,0.507177,0.114177
2005,0.477000,0.580001,0.103001
2006,0.472000,0.566201,0.094201
2007,0.475000,0.580640,0.105640
2008,0.536000,0.636616,0.100616
2009,0.717000,0.818091,0.101091
2010,0.837000,1.025593,0.188593
2011,1.030000,1.195766,0.165766
2012,1.120000,1.263444,0.143444
2013,1.200000,1.325141,0.125141
2014,1.290000,1.351821,0.061821
2015,1.260000,1.309539,0.049539
2016,1.370000,0.774428,-0.595572
2017,1.410000,0.688736,-0.721264
2018,1.594669,1.856784,0.262115
2019,1.687705,1.983176,0.295471
2020,1.777638,2.050477,0.272839
2021,1.879452,2.146911,0.267459
2022,1.746121,2.063067,0.316946
