"Year","ZAF production EXIOBASE 3.8.2","ZAF production OECDv2","ZAF production Eora 199.082 (2023)","ZAF production FIGARO April 2022","ZAF production GCB 2023v26","ZAF consumption EXIOBASE 3.8.2","ZAF consumption OECDv2","ZAF consumption Eora 199.082 (2023)","ZAF consumption FIGARO April 2022","ZAF consumption GCB 2023v26","ZAF net_trade EXIOBASE 3.8.2","ZAF net_trade OECDv2","ZAF net_trade Eora 199.082 (2023)","ZAF net_trade FIGARO April 2022","ZAF net_trade GCB 2023v26"
1970,,,188,,,,,179.228200,,,,,-8.771800,,
1971,,,201,,,,,191.479200,,,,,-9.520800,,
1972,,,205,,,,,193.086000,,,,,-11.914000,,
1973,,,209,,,,,198.051800,,,,,-10.948200,,
1974,,,209,,,,,199.680900,,,,,-9.319100,,
1975,,,207,,,,,198.286900,,,,,-8.713100,,
1976,,,213,,,,,203.180600,,,,,-9.819400,,
1977,,,215,,,,,204.511300,,,,,-10.488700,,
1978,,,214,,,,,203.865800,,,,,-10.134200,,
1979,,,235,,,,,223.407200,,,,,-11.592800,,
1980,,,238,,,,,234.288200,,,,,-3.711800,,
1981,,,263,,,,,260.164300,,,,,-2.835700,,
1982,,,272,,,,,260.622300,,,,,-11.377700,,
1983,,,275,,,,,257.315800,,,,,-17.684200,,
1984,,,303,,,,,275.404800,,,,,-27.595200,,
1985,,,310,,,,,274.789000,,,,,-35.211000,,
1986,,,314,,,,,267.343800,,,,,-46.656200,,
1987,,,313,,,,,266.285400,,,,,-46.714600,,
1988,,,327,,,,,286.748900,,,,,-40.251100,,
1989,,,325,,,,,284.157300,,,,,-40.842700,,
1990,,,300,,312.930226,,,262.659100,,219.188499,,,-37.340900,,-93.741726
1991,,,310,,326.026708,,,267.966700,,241.021564,,,-42.033300,,-85.005144
1992,,,287,,301.325411,,,242.157900,,228.219728,,,-44.842100,,-73.105683
1993,,,306,,320.345312,,,244.012300,,239.210210,,,-61.987700,,-81.135102
1994,,,325,,338.697562,,,273.074800,,257.114897,,,-51.925200,,-81.582665
1995,270.511307,274.448994,346,,361.693611,238.141961,225.900016,295.987900,,270.839035,-32.369346,-48.548977,-50.012100,,-90.854576
1996,280.462172,284.730333,351,,363.732331,198.925944,230.923258,294.578700,,264.467596,-81.536228,-53.807076,-56.421300,,-99.264735
1997,295.645875,299.055744,373,,385.222743,210.593804,247.051816,306.915400,,278.597680,-85.052072,-52.003928,-66.084600,,-106.625064
1998,303.051025,306.511114,368,,377.262459,202.980953,243.200692,302.672500,,269.410900,-100.070072,-63.310423,-65.327500,,-107.851559
1999,285.370503,289.977548,366,,374.891007,200.456803,230.140269,299.020700,,293.148698,-84.913700,-59.837280,-66.979300,,-81.742310
2000,291.999606,297.077241,368,,378.306871,193.409782,230.911864,298.945400,,286.268867,-98.589824,-66.165376,-69.054600,,-92.038004
2001,279.901344,282.810882,367,,371.623973,183.974925,223.854173,290.308500,,272.660365,-95.926419,-58.956710,-76.691500,,-98.963608
2002,291.963619,293.777043,380,,356.523118,193.537489,226.160020,298.506400,,254.017365,-98.426130,-67.617023,-81.493600,,-102.505753
2003,317.966152,319.873060,403,,404.409657,232.072010,259.469704,322.402400,,279.061354,-85.894142,-60.403356,-80.597600,,-125.348304
2004,343.487268,335.769777,421,,449.306966,257.883331,281.460959,345.726500,,322.793933,-85.603936,-54.308818,-75.273500,,-126.513033
2005,348.648903,329.407017,415,,416.201202,263.898215,281.593601,345.372600,,299.100517,-84.750688,-47.813416,-69.627400,,-117.100685
2006,351.609971,330.801221,423,,446.770029,267.408384,288.271804,355.284400,,333.375181,-84.201587,-42.529418,-67.715600,,-113.394849
2007,362.791529,355.829008,450,,465.044619,280.711952,307.915445,374.134600,,340.031722,-82.079576,-47.913563,-75.865400,,-125.012897
2008,393.955910,384.524224,450,,495.170841,281.837970,320.449833,363.875400,,340.277492,-112.117941,-64.074391,-86.124600,,-154.893349
2009,388.650790,365.626523,441,,480.572472,296.532502,317.397687,353.689700,,347.005632,-92.118288,-48.228836,-87.310300,,-133.566840
2010,380.999577,376.508257,447,459.218711,462.999672,280.752146,323.889826,368.966300,351.503293,337.014306,-100.247431,-52.618431,-78.033700,-107.715418,-125.985365
2011,368.035371,361.674852,462,440.240755,465.907824,274.387761,316.122872,381.360800,334.253861,336.044415,-93.647609,-45.551979,-80.639200,-105.986894,-129.863409
2012,383.916707,,443,457.104994,458.954230,289.093458,,368.275800,360.991830,354.357992,-94.823249,,-74.724200,-96.113164,-104.596239
2013,397.737901,,456,468.349996,458.628224,295.809565,,369.797300,366.543811,347.756504,-101.928335,,-86.202700,-101.806185,-110.871720
2014,409.049635,,458,478.414967,471.865990,284.163693,,369.482400,359.729741,347.514137,-124.885942,,-88.517600,-118.685226,-124.351854
2015,402.514922,,447,454.873648,446.221043,294.940438,,364.807600,346.337107,334.804816,-107.574484,,-82.192400,-108.536541,-111.416227
2016,401.267669,,449,455.004767,456.972860,291.507473,,360.460800,338.649625,334.158795,-109.760196,,-88.539200,-116.355142,-122.814065
2017,405.646225,,439,463.734049,439.380134,263.129104,,345.161300,352.422210,326.769283,-142.517121,,-93.838700,-111.311839,-112.610851
2018,410.616227,,440.753100,461.032394,435.237186,279.916127,,348.647000,351.597863,323.900432,-130.700100,,-92.106100,-109.434531,-111.336755
2019,416.800542,,435.897100,465.188646,465.429264,271.607436,,352.222600,355.514907,344.178398,-145.193106,,-83.674500,-109.673739,-121.250866
2020,457.459310,,431.362900,378.521736,434.828632,294.091108,,355.175200,276.474114,315.802430,-163.368202,,-76.187700,-102.047622,-119.026202
2021,418.922554,,427.050600,,425.509833,276.500758,,347.401100,,297.717227,-142.421796,,-79.649500,,-127.792606
2022,411.452346,,434.859000,,,263.368771,,361.244300,,,-148.083575,,-73.614700,,
