"Year","ECU production Eora 199.082 (2023)","ECU production GCB 2023v26"
1970,4.370000,
1971,4.300000,
1972,4.690000,
1973,5.370000,
1974,6.210000,
1975,7.450000,
1976,8.280000,
1977,7.660000,
1978,10.600000,
1979,12.300000,
1980,13.600000,
1981,16.800000,
1982,19.400000,
1983,19.700000,
1984,21.400000,
1985,19.500000,
1986,15.300000,
1987,15.200000,
1988,17.300000,
1989,20.300000,
1990,16.900000,16.457820
1991,16.600000,16.157175
1992,22.400000,21.959676
1993,24.300000,24.088526
1994,13.700000,14.306838
1995,22.900000,23.498436
1996,24.200000,25.299900
1997,18.500000,19.428882
1998,22.600000,23.090469
1999,21.600000,21.976232
2000,20.800000,20.927295
2001,23.200000,23.407850
2002,25.100000,24.827051
2003,27.100000,27.071580
2004,29.100000,29.258109
2005,30.200000,30.589607
2006,28.900000,29.689756
2007,31.900000,34.279182
2008,33.700000,30.314430
2009,35.900000,33.598597
2010,36.300000,36.276411
2011,38.400000,38.263916
2012,37.900000,37.408782
2013,40.700000,39.654975
2014,43.700000,43.731351
2015,42.200000,41.275743
2016,39.900000,39.357052
2017,38.800000,39.174206
2018,42.864820,38.429114
2019,42.663530,40.065169
2020,42.895800,32.909420
2021,43.586300,39.650932
2022,42.332360,
