"Year","MDA production Eora 199.082 (2023)","MDA consumption Eora 199.082 (2023)","MDA net_trade Eora 199.082 (2023)"
1970,21.900000,0.081904,-21.818096
1971,23.200000,0.022887,-23.177113
1972,24.600000,-0.068097,-24.668097
1973,25.900000,-0.098830,-25.998830
1974,27.100000,-0.076573,-27.176573
1975,28.600000,0.039101,-28.560899
1976,29.600000,0.110209,-29.489791
1977,30.700000,0.248096,-30.451904
1978,32.100000,0.226037,-31.873963
1979,32.500000,0.260269,-32.239731
1980,33.700000,0.247996,-33.452004
1981,33.600000,0.250487,-33.349514
1982,34.100000,0.242430,-33.857569
1983,34.700000,0.165076,-34.534924
1984,34.900000,0.122338,-34.777662
1985,35.500000,0.379483,-35.120517
1986,37,-0.255192,-37.255192
1987,38.600000,-0.260698,-38.860698
1988,39.400000,0.183109,-39.216891
1989,37.200000,0.436981,-36.763019
1990,37.100000,0.460353,-36.639647
1991,33.200000,0.496954,-32.703046
1992,26,0.072234,-25.927766
1993,18.300000,-0.694353,-18.994353
1994,15.200000,-0.321302,-15.521302
1995,12.100000,0.137802,-11.962198
1996,11.900000,0.116628,-11.783372
1997,10.800000,0.141080,-10.658920
1998,9.260000,0.115487,-9.144513
1999,7.730000,0.069190,-7.660810
2000,6.950000,0.079357,-6.870643
2001,7.560000,0.088850,-7.471150
2002,7.240000,0.092902,-7.147098
2003,7.910000,0.125934,-7.784066
2004,8.650000,0.215876,-8.434124
2005,8.920000,0.271989,-8.648011
2006,8.230000,0.429077,-7.800923
2007,8.740000,0.785742,-7.954258
2008,9.300000,1.388841,-7.911159
2009,9.660000,1.768316,-7.891684
2010,9.990000,1.863472,-8.126528
2011,10.300000,2.329372,-7.970628
2012,9.830000,2.465099,-7.364901
2013,8.880000,3.079534,-5.800466
2014,9.490000,0.503179,-8.986821
2015,9.880000,0.656824,-9.223176
2016,9.940000,2.139435,-7.800565
2017,9.970000,2.570263,-7.399737
2018,10.302500,4.878822,-5.423678
2019,10.442620,2.656373,-7.786247
2020,10.627450,2.544623,-8.082827
2021,10.823240,2.602076,-8.221164
2022,10.007900,2.483059,-7.524841
