"Year","ROU production EXIOBASE 3.8.2","ROU production WIOD2016","ROU production OECDv2","ROU production Eora 199.082 (2023)","ROU production FIGARO April 2022","ROU production GCB 2023v26","ROU production Eurostat NAMEA"
1970,,,,128,,,
1971,,,,133,,,
1972,,,,140,,,
1973,,,,151,,,
1974,,,,156,,,
1975,,,,165,,,
1976,,,,177,,,
1977,,,,180,,,
1978,,,,193,,,
1979,,,,196,,,
1980,,,,193,,,
1981,,,,193,,,
1982,,,,192,,,
1983,,,,194,,,
1984,,,,192,,,
1985,,,,197,,,
1986,,,,205,,,
1987,,,,211,,,
1988,,,,205,,,
1989,,,,212,,,
1990,,,,171,,176.506904,
1991,,,,141,,142.208210,
1992,,,,133,,132.011249,
1993,,,,126,,122.693801,
1994,,,,125,,120.904659,
1995,122.445684,,117.490003,129,,125.711850,
1996,125.825886,,121.667096,132,,129.147248,
1997,115.239401,,111.816045,126,,118.156416,
1998,101.299732,,97.236426,111,,104.860488,
1999,87.502037,,83.813177,92.600000,,89.010048,
2000,90.787558,97.555226,87.062743,97.100000,,93.334042,
2001,95.811580,103.134058,91.697062,103,,98.987941,
2002,95.231646,103.954337,91.211453,104,,99.297707,
2003,101.172895,109.768933,97.045203,107,,103.817106,
2004,98.431442,107.786106,94.565278,106,,103.276914,
2005,98.472079,107.020916,94.446019,104,,101.836696,
2006,102.080392,108.607067,96.697646,107,,104.296047,
2007,100.262671,106.153911,94.038733,109,,109.019590,
2008,99.078055,106.067847,92.562053,107,,107.894495,108.349973
2009,84.040039,87.649861,78.572894,88.500000,,88.482225,88.640296
2010,80.978165,84.858768,75.440974,84.700000,81.207620,86.094088,86.295847
2011,87.794383,91.146184,81.656029,90.600000,89.694321,92.803518,94.478234
2012,85.473644,88.373011,,87.300000,87.883623,91.126708,95.345402
2013,75.731524,79.583282,,77.800000,79.355370,79.365576,81.469670
2014,75.522517,80.216335,,78.200000,79.920558,79.126881,80.829367
2015,74.119036,,,78.400000,81.338823,78.031914,80.278334
2016,72.391046,,,76.400000,79.217204,76.714540,79.764261
2017,75.477460,,,75.600000,82.553893,79.648909,83.260902
2018,75.008425,,,80.001870,83.286165,80.279683,85.346991
2019,73.984717,,,79.095990,79.652194,76.885222,82.412902
2020,76.688660,,,77.746450,74.474587,74.026534,79.663193
2021,80.061597,,,75.898360,,77.190584,83.859349
2022,78.455440,,,73.498030,,,
