"Year","ARG production OECDv2","ARG production Eora 199.082 (2023)","ARG production FIGARO April 2022","ARG production GCB 2023v26"
1970,,82.200000,,
1971,,87.700000,,
1972,,89.500000,,
1973,,93.200000,,
1974,,94,,
1975,,92.800000,,
1976,,97,,
1977,,98.300000,,
1978,,100,,
1979,,108,,
1980,,106,,
1981,,99.100000,,
1982,,99.200000,,
1983,,101,,
1984,,102,,
1985,,96.100000,,
1986,,103,,
1987,,113,,
1988,,118,,
1989,,113,,
1990,,111,,112.079088
1991,,119,,117.505744
1992,,123,,121.230584
1993,,123,,117.777485
1994,,129,,118.469418
1995,119.851373,124,,125.239787
1996,127.119765,134,,131.134844
1997,132.753498,138,,136.523744
1998,137.638322,143,,139.004991
1999,141.510839,144,,147.673558
2000,141.913396,149,,142.765208
2001,131.660177,138,,134.422277
2002,124.238619,132,,124.454617
2003,134.008190,140,,133.993824
2004,149.482160,153,,156.712417
2005,152.545707,160,,161.189172
2006,161.986211,171,,174.209917
2007,168.601754,184,,173.482074
2008,179.417472,188,,187.243460
2009,171.898541,182,,178.110959
2010,176.260928,190,182.356704,185.854336
2011,183.690947,199,191.414815,189.676106
2012,,198,193.202421,191.292113
2013,,203,199.776829,189.537745
2014,,203,197.501172,188.396533
2015,,206,201.542006,191.743840
2016,,206,199.733862,189.920438
2017,,204,196.698671,186.898880
2018,,203.642300,194.168824,180.599326
2019,,199.793300,185.091848,178.511615
2020,,198.350000,159.828376,166.879581
2021,,200.422400,,189.544300
2022,,208.826100,,
