"Year","SLE production Eora 199.082 (2023)","SLE consumption Eora 199.082 (2023)","SLE net_trade Eora 199.082 (2023)"
1970,0.886000,0.411532,-0.474468
1971,0.816000,0.019673,-0.796327
1972,0.692000,-0.545498,-1.237498
1973,0.553000,-0.849940,-1.402941
1974,0.535000,-0.856149,-1.391149
1975,0.539000,-0.620525,-1.159525
1976,0.466000,-0.518144,-0.984144
1977,0.528000,0.664366,0.136366
1978,0.726000,0.580968,-0.145032
1979,0.694000,2.081103,1.387103
1980,0.624000,2.214876,1.590876
1981,0.709000,1.288432,0.579432
1982,0.570000,0.559399,-0.010601
1983,0.706000,0.138609,-0.567391
1984,0.633000,-0.129617,-0.762617
1985,0.681000,0.959993,0.278993
1986,0.693000,-1.762715,-2.455715
1987,0.517000,-2.055395,-2.572395
1988,0.478000,-0.287713,-0.765713
1989,0.394000,0.705386,0.311386
1990,0.508000,0.719398,0.211398
1991,0.566000,0.787219,0.221219
1992,0.468000,-0.011239,-0.479239
1993,0.467000,-3.655082,-4.122082
1994,0.533000,-1.986034,-2.519034
1995,0.420000,0.582900,0.162900
1996,0.493000,0.492656,-0.000344
1997,0.464000,0.581677,0.117677
1998,0.435000,0.501182,0.066182
1999,0.388000,0.475953,0.087952
2000,0.447000,0.512770,0.065770
2001,0.591000,0.674812,0.083812
2002,0.629000,0.731948,0.102948
2003,0.678000,0.805024,0.127024
2004,0.668000,0.783332,0.115332
2005,0.574000,0.720818,0.146818
2006,0.762000,0.896251,0.134251
2007,0.671000,0.834059,0.163059
2008,0.694000,0.883172,0.189172
2009,0.683000,0.896688,0.213688
2010,0.756000,1.016081,0.260081
2011,0.929000,1.382325,0.453325
2012,1.060000,1.490980,0.430980
2013,1.220000,1.725137,0.505137
2014,1.330000,1.776459,0.446459
2015,1.190000,1.609464,0.419464
2016,1.270000,0.814811,-0.455189
2017,1.330000,0.779652,-0.550348
2018,1.303983,1.812523,0.508540
2019,1.364241,1.821051,0.456810
2020,1.420130,1.898336,0.478206
2021,1.475819,1.931522,0.455703
2022,1.474794,1.945181,0.470387
