"Year","MAR production Eora 199.082 (2023)","MAR production GCB 2023v26"
1970,7.170000,
1971,8.070000,
1972,7.930000,
1973,9.480000,
1974,10.900000,
1975,10.800000,
1976,11.300000,
1977,12.400000,
1978,12.800000,
1979,15.600000,
1980,15.600000,
1981,15.500000,
1982,16.600000,
1983,17.300000,
1984,17.300000,
1985,17.400000,
1986,18.400000,
1987,19.600000,
1988,20.700000,
1989,22.300000,
1990,23,22.297998
1991,24.400000,23.688164
1992,25.400000,24.736784
1993,27.500000,26.778886
1994,28.800000,28.123801
1995,29.700000,28.750270
1996,30.600000,29.524523
1997,31.600000,29.977577
1998,31.900000,30.881156
1999,33.200000,31.985669
2000,34.100000,33.199036
2001,37.700000,36.805697
2002,38.200000,37.306287
2003,37.400000,36.570125
2004,43.100000,42.225556
2005,45,44.660769
2006,46.600000,46.249416
2007,49.200000,48.912715
2008,51.600000,51.369080
2009,51.300000,50.859733
2010,54.500000,54.365200
2011,56,54.867636
2012,60.700000,56.953540
2013,57.300000,56.606417
2014,58,57.174916
2015,58.400000,58.495177
2016,58.600000,58.457476
2017,61.300000,61.107122
2018,61.257300,62.309239
2019,61.781700,68.743122
2020,61.547460,64.560780
2021,60.738150,72.551629
2022,65.740520,
