"Year","OMN production Eora 199.082 (2023)","OMN production GCB 2023v26","OMN consumption Eora 199.082 (2023)","OMN consumption GCB 2023v26"
1970,0.671000,,-0.133305,
1971,2.550000,,-0.207133,
1972,2.560000,,-0.335864,
1973,2.610000,,-0.257885,
1974,2.850000,,0.764748,
1975,7.790000,,4.169810,
1976,8.890000,,5.375196,
1977,9.100000,,6.099670,
1978,8.420000,,5.681277,
1979,8.380000,,6.060942,
1980,6.740000,,6.275945,
1981,6.750000,,6.750057,
1982,6.510000,,6.928197,
1983,8.380000,,7.562423,
1984,9.220000,,8.087700,
1985,9.540000,,10.539270,
1986,10.800000,,6.474844,
1987,10.400000,,5.679240,
1988,11.500000,,8.410238,
1989,11,,8.989259,
1990,12.400000,11.222441,9.875507,12.556885
1991,12.800000,11.594826,10.719110,13.405516
1992,13.200000,11.892658,10.401880,13.729518
1993,14.600000,13.224754,7.875839,15.375565
1994,16.400000,17.384390,10.439110,19.048265
1995,17.100000,18.734758,12.755130,19.990823
1996,16.300000,18.108173,11.800060,19.225027
1997,16.700000,18.053501,12.216040,19.271075
1998,17.800000,18.445326,13.432310,20.215525
1999,22,21.985242,14.897410,19.179802
2000,23.200000,23.890246,13.537290,20.741313
2001,21.600000,22.404480,13.684940,21.641726
2002,26.700000,26.841720,15.798490,23.277887
2003,33.500000,34.355937,19.379380,34.094323
2004,29.100000,29.023123,18.064560,26.579406
2005,31.100000,31.596678,18.058890,26.479418
2006,41.700000,40.166882,24.049860,35.396704
2007,46.100000,45.068391,27.733930,40.703579
2008,45.700000,47.181394,29.008270,44.309883
2009,44.600000,44.252450,31.388690,44.010901
2010,51.700000,51.149068,33.795810,45.446080
2011,58.400000,56.983533,37.096930,48.795614
2012,63.500000,62.713523,40.587800,54.039853
2013,65.800000,65.251403,40.118970,56.942305
2014,65.800000,65.896627,40.024190,59.791915
2015,68.800000,67.376192,41.970110,65.121321
2016,69.700000,65.739242,56.463180,67.686981
2017,69.400000,69.230728,53.833560,70.300071
2018,76.151640,66.135435,49.968770,65.770114
2019,77.965460,59.221741,49.148770,61.463826
2020,81.213330,65.428855,51.219400,65.341785
2021,84.746160,70.849103,52.114850,69.487095
2022,87.765990,,52.812780,
