"Year","DOM production Eora 199.082 (2023)","DOM production GCB 2023v26","DOM consumption Eora 199.082 (2023)","DOM consumption GCB 2023v26","DOM net_trade Eora 199.082 (2023)","DOM net_trade GCB 2023v26"
1970,3.070000,,3.064039,,-0.005961,
1971,3.510000,,3.217742,,-0.292258,
1972,4.670000,,3.987091,,-0.682909,
1973,5.840000,,5.464929,,-0.375071,
1974,6.240000,,6.832554,,0.592554,
1975,6.200000,,7.471193,,1.271193,
1976,6.170000,,8.308835,,2.138835,
1977,5.540000,,8.738780,,3.198780,
1978,5.360000,,8.778673,,3.418673,
1979,6.650000,,11.139590,,4.489590,
1980,6.320000,,11.530150,,5.210150,
1981,6.040000,,10.399630,,4.359630,
1982,6.190000,,9.361366,,3.171366,
1983,7.680000,,9.947787,,2.267787,
1984,7.250000,,10.185980,,2.935980,
1985,7.090000,,10.222130,,3.132130,
1986,7.930000,,6.487134,,-1.442866,
1987,9.420000,,7.438278,,-1.981722,
1988,9.480000,,9.455024,,-0.024976,
1989,10,,12.153250,,2.153250,
1990,8.920000,8.936017,10.602100,9.375311,1.682100,0.439294
1991,10.500000,9.538286,11.231860,9.945461,0.731860,0.407174
1992,12.100000,10.418188,12.200490,10.879097,0.100490,0.460909
1993,13.700000,11.208752,10.443840,11.475589,-3.256160,0.266836
1994,15.200000,11.796446,13.538740,12.125240,-1.661260,0.328795
1995,17.800000,15.106975,18.003610,14.930053,0.203610,-0.176922
1996,17.700000,16.484352,17.835410,16.339950,0.135410,-0.144403
1997,16.900000,17.265690,17.270820,17.667665,0.370820,0.401976
1998,16.200000,17.788184,16.408230,19.572021,0.208230,1.783837
1999,16.600000,17.821253,16.663910,20.259057,0.063910,2.437804
2000,18.100000,18.991627,18.042990,12.239033,-0.057010,-6.752594
2001,17.500000,19.144596,17.393080,34.147059,-0.106920,15.002463
2002,18.100000,20.949129,17.899970,28.824960,-0.200030,7.875831
2003,17.700000,21.345009,16.587260,25.526827,-1.112740,4.181818
2004,14.500000,17.333192,13.964840,23.907531,-0.535160,6.574338
2005,14.200000,17.940521,14.892050,32.494855,0.692050,14.554334
2006,14.400000,19.111932,15.736380,33.352595,1.336380,14.240662
2007,14.700000,19.992930,16.540490,28.137941,1.840490,8.145011
2008,13.900000,20.331836,16.470500,27.199571,2.570500,6.867735
2009,13,19.780666,15.542790,55.428946,2.542790,35.648281
2010,12.800000,20.553453,16.266400,71.719659,3.466400,51.166207
2011,12.900000,21.317914,18.127300,51.853509,5.227300,30.535595
2012,13.400000,21.254754,18.514920,58.182710,5.114920,36.927956
2013,13.100000,21.266960,17.889900,48.248203,4.789900,26.981243
2014,13.200000,21.800611,17.911630,36.826252,4.711630,15.025640
2015,13.500000,23.494589,17.962600,36.066503,4.462600,12.571913
2016,13.800000,24.644567,17.763080,30.385754,3.963080,5.741187
2017,13.800000,24.016922,17.674150,30.584196,3.874150,6.567274
2018,14.033010,25.756241,19.508300,31.792961,5.475290,6.036720
2019,14.294260,28.374693,19.071820,33.514214,4.777560,5.139521
2020,14.683950,23.501650,19.614380,29.047321,4.930430,5.545671
2021,15.097750,23.748996,19.658100,30.225485,4.560350,6.476489
2022,13.333320,,17.958950,,4.625630,
