"Year","BEL production EXIOBASE 3.8.2","BEL production WIOD2016","BEL production OECDv2","BEL production Eora 199.082 (2023)","BEL production FIGARO April 2022","BEL production GCB 2023v26","BEL production Eurostat NAMEA","BEL consumption EXIOBASE 3.8.2","BEL consumption WIOD2016","BEL consumption OECDv2","BEL consumption Eora 199.082 (2023)","BEL consumption FIGARO April 2022","BEL consumption GCB 2023v26"
1970,,,,155,,,,,,,159.651800,,
1971,,,,147,,,,,,,149.920900,,
1972,,,,160,,,,,,,159.195600,,
1973,,,,166,,,,,,,159.078200,,
1974,,,,163,,,,,,,147.309100,,
1975,,,,145,,,,,,,134.280800,,
1976,,,,153,,,,,,,140.231500,,
1977,,,,146,,,,,,,136.869600,,
1978,,,,154,,,,,,,142.670500,,
1979,,,,164,,,,,,,148.351300,,
1980,,,,156,,,,,,,138.320100,,
1981,,,,144,,,,,,,123.261100,,
1982,,,,134,,,,,,,111.333200,,
1983,,,,117,,,,,,,97.198570,,
1984,,,,123,,,,,,,98.127330,,
1985,,,,120,,,,,,,100.713900,,
1986,,,,117,,,,,,,84.927070,,
1987,,,,117,,,,,,,84.306690,,
1988,,,,116,,,,,,,98.140700,,
1989,,,,122,,,,,,,105.815200,,
1990,,,,122,,120.292799,,,,,108.299900,,154.963176
1991,,,,125,,123.362626,,,,,111.638300,,155.689328
1992,,,,124,,122.488488,,,,,109.733100,,172.413109
1993,,,,123,,121.423876,,,,,100.259600,,162.760358
1994,,,,126,,124.796749,,,,,108.871300,,162.672937
1995,122.535742,,115.211913,127,,125.936291,,114.720944,,119.815357,117.400900,,166.612555
1996,127.825197,,121.309742,131,,129.478738,,124.958747,,126.082539,117.725600,,165.567246
1997,125.202790,,118.485027,125,,123.990621,,115.910162,,117.852349,108.754100,,170.613677
1998,128.259789,,120.958657,131,,130.223497,,123.577192,,125.042167,115.268500,,180.668210
1999,124.766453,,117.449855,125,,124.681140,,122.012147,,122.489027,110.600600,,187.872522
2000,126.685747,131.728073,118.851623,127,,126.721544,,123.388120,145.644832,125.007494,114.424800,,190.423066
2001,125.200028,131.509642,119.970754,127,,126.066062,,126.529126,145.286121,121.588506,110.448500,,189.349186
2002,117.742630,128.284956,112.615657,127,,126.863014,,126.790745,143.428432,117.344986,111.101200,,193.967807
2003,122.453062,128.957505,120.253955,129,,128.248330,,133.943391,150.742674,124.752019,113.663100,,206.692620
2004,121.773798,129.054947,116.140785,130,,128.770821,,137.333682,154.643225,127.331500,115.182700,,218.660221
2005,118.777615,125.515650,113.235909,126,,125.627922,,139.457159,155.012862,127.880085,113.185300,,226.234901
2006,116.495930,122.431395,110.493612,125,,123.872982,,138.985688,153.060217,129.106952,113.481300,,225.910415
2007,114.002074,119.281113,106.087034,122,,120.463269,,134.387924,153.766270,123.233183,112.857800,,234.706581
2008,115.835010,118.294734,111.636765,122,,120.170036,120.515309,151.411757,158.459475,139.654497,115.427800,,234.279636
2009,108.333845,106.258364,100.841501,109,,107.765103,108.668472,134.266822,141.199739,122.844299,106.238100,,200.538391
2010,115.768869,113.520275,109.709913,115,117.405856,114.604106,116.142422,139.784037,143.186607,134.442973,106.566200,134.874174,216.101450
2011,105.226527,103.999544,110.546658,105,107.613250,105.068555,106.606024,139.138959,143.427845,135.394753,98.941430,125.777619,219.902983
2012,104.056744,101.579123,,103,105.002901,102.404519,104.190260,133.990264,136.899927,,98.267470,121.256752,209.264358
2013,105.188252,103.016274,,103,104.160514,102.714747,103.503853,132.642228,134.537990,,98.220780,121.287528,209.951154
2014,99.198028,97.560209,,97.100000,98.365985,97.029247,97.509165,126.898060,138.059204,,93.879840,115.510446,212.187540
2015,104.504652,,,101,103.064828,101.145633,101.474467,132.201688,,,96.478420,116.616898,208.373701
2016,103.870169,,,99.600000,102.112007,99.623026,100.548993,139.895402,,,108.362100,113.227795,208.132825
2017,102.996698,,,98.800000,101.198318,99.055040,100.128349,137.299347,,,109.914400,112.978650,201.301374
2018,105.340723,,,96.298180,101.661107,99.967324,101.197203,143.430626,,,119.434700,117.241386,208.551039
2019,105.300918,,,94.773720,101.818153,99.470260,101.298756,133.945500,,,115.254100,115.303396,201.247478
2020,107.263836,,,93.286270,93.865403,91.101387,90.070091,143.596937,,,121.979900,103.884855,178.832410
2021,107.549303,,,91.754610,,95.668081,95.129662,146.812822,,,116.686500,,199.643157
2022,108.664100,,,89.177130,,,,146.302833,,,117.311600,,
