"Year","ABW production Eora 199.082 (2023)","ABW consumption Eora 199.082 (2023)"
1970,2.650000,1.899365
1971,2.310000,1.392043
1972,2.240000,1.017046
1973,2.480000,1.102382
1974,2.250000,0.947412
1975,1.640000,0.785841
1976,3.470000,2.549726
1977,1.830000,1.675010
1978,1.560000,1.413693
1979,1.640000,1.675530
1980,1.680000,1.695487
1981,1.610000,1.601214
1982,1.790000,1.584978
1983,0.938000,0.580749
1984,2.290000,1.482244
1985,2.680000,2.607485
1986,0.215000,-1.439277
1987,0.482000,-1.354617
1988,0.647000,0.227505
1989,0.684000,1.223138
1990,1.680000,1.963039
1991,1.720000,1.910231
1992,1.500000,1.038151
1993,1.640000,-1.634181
1994,1.660000,-0.177503
1995,1.710000,1.657247
1996,1.740000,1.565711
1997,1.790000,1.799622
1998,1.850000,1.749345
1999,1.860000,1.762832
2000,2.430000,2.118059
2001,2.460000,2.140732
2002,2.490000,2.211313
2003,2.620000,2.312682
2004,2.670000,2.238537
2005,2.780000,2.305942
2006,2.770000,2.381123
2007,2.880000,2.476506
2008,2.720000,2.355989
2009,2.690000,2.430495
2010,2.570000,2.360976
2011,2.560000,2.398988
2012,1.410000,1.652288
2013,0.922000,1.315992
2014,0.934000,1.286516
2015,0.953000,1.281134
2016,0.980000,0.576508
2017,0.976000,0.528932
2018,1.766425,1.091775
2019,1.778373,1.111014
2020,2.050499,1.311291
2021,2.095660,1.246630
2022,0.976000,0.870646
