"Year","BGR production EXIOBASE 3.8.2","BGR production WIOD2016","BGR production OECDv2","BGR production Eora 199.082 (2023)","BGR production FIGARO April 2022","BGR production GCB 2023v26","BGR production Eurostat NAMEA","BGR consumption EXIOBASE 3.8.2","BGR consumption WIOD2016","BGR consumption OECDv2","BGR consumption Eora 199.082 (2023)","BGR consumption FIGARO April 2022","BGR consumption GCB 2023v26","BGR net_trade EXIOBASE 3.8.2","BGR net_trade WIOD2016","BGR net_trade OECDv2","BGR net_trade Eora 199.082 (2023)","BGR net_trade FIGARO April 2022","BGR net_trade GCB 2023v26"
1970,,,,68.900000,,,,,,,67.807000,,,,,,-1.093000,,
1971,,,,71.500000,,,,,,,69.927500,,,,,,-1.572500,,
1972,,,,73.600000,,,,,,,71.441100,,,,,,-2.158900,,
1973,,,,75.700000,,,,,,,72.893010,,,,,,-2.806990,,
1974,,,,77.400000,,,,,,,73.095370,,,,,,-4.304630,,
1975,,,,79.500000,,,,,,,75.537770,,,,,,-3.962230,,
1976,,,,80.100000,,,,,,,77.750050,,,,,,-2.349950,,
1977,,,,82.200000,,,,,,,83.119430,,,,,,0.919430,,
1978,,,,87,,,,,,,88.145600,,,,,,1.145600,,
1979,,,,84.900000,,,,,,,87.081330,,,,,,2.181330,,
1980,,,,82.900000,,,,,,,93.011040,,,,,,10.111040,,
1981,,,,85.400000,,,,,,,95.848470,,,,,,10.448470,,
1982,,,,94.200000,,,,,,,101.925700,,,,,,7.725700,,
1983,,,,94.500000,,,,,,,99.392680,,,,,,4.892680,,
1984,,,,92.300000,,,,,,,89.035440,,,,,,-3.264560,,
1985,,,,94.500000,,,,,,,103.104400,,,,,,8.604400,,
1986,,,,95.500000,,,,,,,41.449050,,,,,,-54.050950,,
1987,,,,94.600000,,,,,,,41.530750,,,,,,-53.069250,,
1988,,,,89.900000,,,,,,,74.900530,,,,,,-14.999470,,
1989,,,,88.200000,,,,,,,82.617730,,,,,,-5.582270,,
1990,,,,76.700000,,76.637986,,,,,62.567210,,61.325553,,,,-14.132790,,-15.312433
1991,,,,61.400000,,61.456343,,,,,36.810490,,44.701413,,,,-24.589510,,-16.754929
1992,,,,57.400000,,57.306464,,,,,36.540140,,42.185540,,,,-20.859860,,-15.120923
1993,,,,58.900000,,58.364024,,,,,39.084000,,45.458517,,,,-19.816000,,-12.905507
1994,,,,56.900000,,56.367039,,,,,36.392930,,41.592804,,,,-20.507070,,-14.774235
1995,57.307314,,53.246539,58.100000,,57.908989,,40.233886,,28.293328,39.884070,,46.560198,-17.073428,,-24.953211,-18.215930,,-11.348791
1996,57.789416,,53.915553,58.900000,,58.460097,,37.945092,,30.902793,34.124330,,48.864012,-19.844324,,-23.012760,-24.775670,,-9.596085
1997,55.562433,,51.141813,56.500000,,55.809073,,37.372799,,25.977471,32.162890,,46.592669,-18.189634,,-25.164342,-24.337110,,-9.216404
1998,52.634627,,48.804687,53.800000,,53.115147,,42.239585,,29.107673,33.816500,,45.902225,-10.395042,,-19.697014,-19.983500,,-7.212923
1999,46.536880,,42.874563,47.300000,,46.318478,,39.951947,,31.065433,32.547060,,41.549247,-6.584934,,-11.809130,-14.752940,,-4.769230
2000,45.317829,49.593497,42.315665,46.100000,,45.413457,,37.050797,52.073934,27.174453,30.727960,,42.413902,-8.267032,2.480437,-15.141212,-15.372040,,-2.999556
2001,47.790324,52.679446,44.959522,49.600000,,48.921856,,38.991726,55.925529,30.006929,35.052300,,45.394805,-8.798598,3.246083,-14.952593,-14.547700,,-3.527051
2002,45.213208,49.072235,42.177158,46.700000,,46.099354,,39.162289,51.966205,27.745658,33.724030,,43.230768,-6.050920,2.893970,-14.431501,-12.975970,,-2.868587
2003,49.508725,53.866698,46.471981,51.100000,,50.473675,,43.197759,54.666253,32.197749,38.429530,,46.292945,-6.310966,0.799556,-14.274232,-12.670470,,-4.180731
2004,49.024826,53.128324,45.633811,49.900000,,49.525775,,42.513430,51.065069,32.152201,38.832190,,45.754240,-6.511396,-2.063255,-13.481610,-11.067810,,-3.771535
2005,49.762307,54.312516,46.231451,51,,50.598174,,45.133887,51.212735,37.651203,40.447960,,48.520752,-4.628420,-3.099782,-8.580248,-10.552040,,-2.077421
2006,50.792212,55.343697,47.464550,52,,51.836629,,48.797815,52.024685,36.347926,40.480290,,50.901810,-1.994397,-3.319013,-11.116624,-11.519710,,-0.934819
2007,54.516666,59.252810,50.726327,56.200000,,55.683720,,58.354092,53.875133,43.245645,44.346470,,54.027269,3.837426,-5.377677,-7.480682,-11.853530,,-1.656450
2008,50.749540,53.972795,48.576867,54,,54.022471,55.576992,54.287973,51.419564,43.178469,43.486570,,55.000459,3.538432,-2.553231,-5.398398,-10.513430,,0.977987
2009,43.617445,45.707143,42.085176,45.800000,,45.759653,47.189855,42.149233,44.953820,39.173621,38.635830,,44.904420,-1.468212,-0.753323,-2.911555,-7.164170,,-0.855233
2010,45.393201,47.792803,44.141685,48,49.118164,47.808404,49.115750,39.727886,41.635814,34.817905,37.281020,40.373980,44.937683,-5.665315,-6.156989,-9.323780,-10.718980,-8.744184,-2.870721
2011,50.286391,53.116467,49.046102,53.300000,54.424199,53.124754,54.421913,40.848688,42.474947,37.698922,38.919670,40.944461,46.947558,-9.437703,-10.641520,-11.347180,-14.380330,-13.479738,-6.177196
2012,45.551849,48.269492,,48.600000,49.587170,48.289982,49.584418,38.734407,40.427082,,36.059910,38.436583,43.875561,-6.817441,-7.842410,,-12.540090,-11.150587,-4.414420
2013,40.480304,42.586000,,42.600000,43.782360,42.586730,43.779336,33.556230,35.353686,,31.755250,33.729963,38.190107,-6.924073,-7.232314,,-10.844750,-10.052397,-4.396623
2014,42.539995,45.142471,,45.100000,46.423354,45.161790,46.471696,35.032037,36.949647,,32.439850,35.781208,38.875907,-7.507959,-8.192824,,-12.660150,-10.642146,-6.285882
2015,44.811237,,,48.100000,49.651758,48.121015,49.634902,36.115779,,,34.634960,36.687535,40.521495,-8.695458,,,-13.465040,-12.964223,-7.599520
2016,42.153102,,,45.300000,47.118846,45.336946,47.098145,33.908840,,,42.450300,34.322436,39.543943,-8.244262,,,-2.849700,-12.796410,-5.793003
2017,44.310348,,,47.400000,49.267703,47.430591,49.251534,33.384082,,,43.408690,36.165712,41.066502,-10.926266,,,-3.991310,-13.101991,-6.364089
2018,41.603429,,,45.980840,45.278445,43.479638,45.253320,29.187662,,,48.291060,36.269013,40.623156,-12.415767,,,2.310220,-9.009432,-2.856482
2019,40.132822,,,46.220010,43.882235,42.232711,43.910780,30.764852,,,47.314690,36.382484,39.596691,-9.367969,,,1.094680,-7.499751,-2.636020
2020,40.826992,,,46.166180,39.214482,36.533613,38.409028,29.280296,,,47.892010,33.174308,35.889719,-11.546696,,,1.725830,-6.040174,-0.643894
2021,37.239697,,,46.059180,,42.281884,43.776181,24.975433,,,47.159140,,40.548778,-12.264265,,,1.099960,,-1.733106
2022,43.189992,,,42.235910,,,,30.767976,,,43.794110,,,-12.422016,,,1.558200,,
