"Year","BTN production Eora 199.082 (2023)"
1970,0.017400
1971,0.017700
1972,0.017900
1973,0.018200
1974,0.018600
1975,0.018900
1976,0.019200
1977,0.023200
1978,0.027200
1979,0.038500
1980,0.038900
1981,0.046600
1982,0.050700
1983,0.051000
1984,0.069800
1985,0.081300
1986,0.074400
1987,0.123000
1988,0.131000
1989,0.083400
1990,0.150000
1991,0.198000
1992,0.228000
1993,0.214000
1994,0.228000
1995,0.301000
1996,0.348000
1997,0.450000
1998,0.455000
1999,0.459000
2000,0.460000
2001,0.455000
2002,0.502000
2003,0.462000
2004,0.393000
2005,0.477000
2006,0.472000
2007,0.475000
2008,0.536000
2009,0.717000
2010,0.837000
2011,1.030000
2012,1.120000
2013,1.200000
2014,1.290000
2015,1.260000
2016,1.370000
2017,1.410000
2018,1.594669
2019,1.687705
2020,1.777638
2021,1.879452
2022,1.746121
