"Year","AZE production Eora 199.082 (2023)","AZE production GCB 2023v26","AZE consumption Eora 199.082 (2023)","AZE consumption GCB 2023v26","AZE net_trade Eora 199.082 (2023)","AZE net_trade GCB 2023v26"
1970,31.100000,,22.198340,,-8.901660,
1971,34.100000,,20.826550,,-13.273450,
1972,36.700000,,17.669030,,-19.030970,
1973,39.500000,,16.989020,,-22.510980,
1974,42.200000,,21.968980,,-20.231020,
1975,44.800000,,30.892770,,-13.907230,
1976,46.500000,,36.237970,,-10.262030,
1977,48.400000,,43.849330,,-4.550670,
1978,51.700000,,44.987990,,-6.712010,
1979,51.800000,,46.572530,,-5.227470,
1980,53.200000,,47.753110,,-5.446890,
1981,54.300000,,48.750580,,-5.549420,
1982,55.100000,,49.727970,,-5.372030,
1983,55.900000,,50.131890,,-5.768110,
1984,55.800000,,46.359520,,-9.440480,
1985,57.400000,,54.080010,,-3.319990,
1986,56.900000,,17.436910,,-39.463090,
1987,59.200000,,11.959280,,-47.240720,
1988,60.800000,,46.900510,,-13.899490,
1989,60.400000,,59.376630,,-1.023370,
1990,57.100000,51.151204,56.341780,28.016616,-0.758220,-23.134589
1991,53,49.752200,51.051180,21.363630,-1.948820,-28.388570
1992,46.700000,56.174400,40.733840,13.263803,-5.966160,-42.910597
1993,39.400000,48.406098,31.882390,24.018240,-7.517610,-24.387858
1994,34.500000,41.944854,29.088350,18.929277,-5.411650,-23.015577
1995,36.800000,33.309350,34.367120,23.203863,-2.432880,-10.105487
1996,30.200000,31.242309,28.734640,28.304931,-1.465360,-2.937378
1997,29.200000,29.842897,26.443850,25.621734,-2.756150,-4.221163
1998,28.800000,31.784873,25.905830,30.199457,-2.894170,-1.585416
1999,28.200000,28.821594,24.934950,26.870393,-3.265050,-1.951201
2000,29.300000,29.765311,24.449550,23.812045,-4.850450,-5.953267
2001,29.200000,28.415461,24.213240,25.190906,-4.986760,-3.224555
2002,29.600000,28.570334,24.628870,30.081517,-4.971130,1.511183
2003,31.400000,30.487388,27.356610,33.931930,-4.043390,3.444541
2004,33.400000,32.253039,28.565800,40.272293,-4.834200,8.019254
2005,36.200000,34.193200,29.324190,35.168352,-6.875810,0.975152
2006,39.600000,34.521826,30.758640,36.911021,-8.841360,2.389195
2007,30.200000,30.036785,24.463010,30.756118,-5.736990,0.719333
2008,36,33.036512,29.172750,33.771252,-6.827250,0.734740
2009,30.500000,29.102576,28.244580,31.882989,-2.255420,2.780413
2010,30.100000,27.549051,27.766470,30.249615,-2.333530,2.700563
2011,31.700000,30.209808,29.105890,32.316430,-2.594110,2.106622
2012,33.200000,32.773342,30.530310,35.634016,-2.669690,2.860674
2013,36.500000,33.555224,34.695100,36.352156,-1.804900,2.796933
2014,38.700000,34.348425,35.944900,37.267059,-2.755100,2.918634
2015,42.300000,34.682951,38.929060,37.169412,-3.370940,2.486462
2016,42,34.727329,43.998020,35.518237,1.998020,0.790908
2017,41.200000,34.607043,41.584490,34.263277,0.384490,-0.343766
2018,43.943870,34.575827,44.426160,35.343272,0.482290,0.767446
2019,44.992250,37.737895,45.262030,37.895484,0.269780,0.157588
2020,46.133790,36.149228,46.499630,37.781004,0.365840,1.631775
2021,47.257060,38.305048,47.179890,38.849298,-0.077170,0.544250
2022,49.112880,,48.542820,,-0.570060,
