"Year","SGP production OECDv2","SGP production Eora 199.082 (2023)","SGP production GCB 2023v26"
1970,,8.700000,
1971,,7.960000,
1972,,10.500000,
1973,,10,
1974,,10.500000,
1975,,11.700000,
1976,,14.200000,
1977,,13.400000,
1978,,15.500000,
1979,,16.800000,
1980,,14.900000,
1981,,13,
1982,,14.400000,
1983,,16.700000,
1984,,15.800000,
1985,,16.700000,
1986,,17.400000,
1987,,16.400000,
1988,,18.100000,
1989,,20.600000,
1990,,22,43.535575
1991,,22.400000,44.235472
1992,,23.900000,47.441472
1993,,25.200000,49.661856
1994,,30.100000,60.085936
1995,39.148098,24.200000,40.545824
1996,40.292846,29.700000,48.012941
1997,41.053525,37.500000,56.737040
1998,39.461691,34.100000,47.412160
1999,40.143438,38.300000,49.200192
2000,44.468744,40.900000,48.394112
2001,44.831088,41.800000,49.200212
2002,44.915784,40.700000,47.093392
2003,42.461023,28.800000,49.434688
2004,44.565325,27.300000,46.858896
2005,42.875162,29.500000,41.586400
2006,43.667652,30.500000,42.308208
2007,45.387936,22.100000,30.781264
2008,43.539082,35.500000,46.705008
2009,44.646895,51.800000,45.250400
2010,49.573343,52,43.048336
2011,50.945332,52.400000,34.016576
2012,,54,50.706096
2013,,79.500000,54.908704
2014,,80.800000,52.109408
2015,,85.600000,61.925264
2016,,91.600000,40.289344
2017,,96.500000,40.014544
2018,,78.999820,50.035584
2019,,74.952540,33.778416
2020,,71.736120,54.813440
2021,,69.549400,55.754987
2022,,62.808080,
