"Year","TTO production Eora 199.082 (2023)","TTO production GCB 2023v26"
1970,9.380000,
1971,8.500000,
1972,8.690000,
1973,9.740000,
1974,10.400000,
1975,9.890000,
1976,16.500000,
1977,16.800000,
1978,16.500000,
1979,17.900000,
1980,18.200000,
1981,18.200000,
1982,20.300000,
1983,18.900000,
1984,20.500000,
1985,23.700000,
1986,20.400000,
1987,20.600000,
1988,19.500000,
1989,20.200000,
1990,21,16.981163
1991,21.300000,16.968163
1992,23.400000,19.102764
1993,21.900000,17.411193
1994,22.200000,15.349368
1995,21.900000,14.732517
1996,26.100000,18.458328
1997,23.900000,18.911193
1998,26.300000,19.905197
1999,30.900000,22.594362
2000,32.300000,24.366293
2001,35.700000,26.756396
2002,38.600000,28.701795
2003,42.600000,32.391290
2004,45.700000,32.711341
2005,54.600000,38.226793
2006,59.700000,42.727046
2007,62.700000,45.582095
2008,61.400000,44.464625
2009,61.700000,44.442093
2010,66.200000,47.111837
2011,65,47.067342
2012,61,46.175888
2013,66.800000,45.823646
2014,67.300000,46.891726
2015,67.300000,45.559680
2016,66.900000,39.893102
2017,66.100000,40.317891
2018,66.664820,40.327882
2019,67.381220,40.782853
2020,68.664790,35.029662
2021,70.596850,35.524354
2022,67.023680,
