"Year","PRK production Eora 199.082 (2023)","PRK consumption Eora 199.082 (2023)","PRK net_trade Eora 199.082 (2023)"
1970,121,118.184500,-2.815500
1971,167,162.999600,-4.000400
1972,144,139.913600,-4.086400
1973,155,150.239300,-4.760700
1974,160,154.358500,-5.641500
1975,170,164.173400,-5.826600
1976,172,165.574800,-6.425200
1977,178,170.829300,-7.170700
1978,163,155.099700,-7.900300
1979,166,156.216100,-9.783900
1980,170,158.128000,-11.872000
1981,170,157.672300,-12.327700
1982,174,163.037100,-10.962900
1983,185,173.202900,-11.797100
1984,198,184.417200,-13.582800
1985,212,198.777800,-13.222200
1986,228,210.815700,-17.184300
1987,254,232.680100,-21.319900
1988,289,261.910300,-27.089700
1989,306,278.243500,-27.756500
1990,183,162.519100,-20.480900
1991,178,155.750700,-22.249300
1992,156,136.496700,-19.503300
1993,146,121.728400,-24.271600
1994,135,111.196800,-23.803200
1995,120,94.904690,-25.095310
1996,99.800000,83.290510,-16.509490
1997,88.100000,70.236400,-17.863600
1998,72,58.279060,-13.720940
1999,71.400000,58.295470,-13.104530
2000,69.200000,51.649350,-17.550650
2001,74.300000,57.822530,-16.477470
2002,74.200000,56.923910,-17.276090
2003,75.800000,59.659870,-16.140130
2004,77.400000,59.820010,-17.579990
2005,80.600000,62.750110,-17.849890
2006,82,63.772450,-18.227550
2007,68.900000,52.219910,-16.680090
2008,75.600000,54.919340,-20.680660
2009,74,54.634370,-19.365630
2010,69.700000,48.280070,-21.419930
2011,50.800000,33.486770,-17.313230
2012,51.800000,34.370720,-17.429280
2013,38.400000,25.539980,-12.860020
2014,42.900000,26.980980,-15.919020
2015,44.500000,26.821900,-17.678100
2016,49.800000,46.643070,-3.156930
2017,51.100000,49.349740,-1.750260
2018,51.100000,50.114310,-0.985690
2019,51.100000,49.558020,-1.541980
2020,51.100000,49.050040,-2.049960
2021,51.100000,49.183800,-1.916200
2022,51.100000,51.617920,0.517920
