"Year","QAT production Eora 199.082 (2023)","QAT production GCB 2023v26"
1970,7.760000,
1971,9.350000,
1972,11,
1973,12.700000,
1974,10.900000,
1975,11.300000,
1976,10.800000,
1977,10.400000,
1978,11.200000,
1979,15.300000,
1980,14.200000,
1981,13.900000,
1982,13.600000,
1983,12.700000,
1984,13.900000,
1985,13.900000,
1986,15,
1987,13.300000,
1988,13.800000,
1989,16.200000,
1990,13.700000,11.411196
1991,19.400000,17.380476
1992,28.900000,26.780341
1993,32.500000,30.684493
1994,32.400000,32.343416
1995,33.800000,33.137148
1996,34.300000,34.423706
1997,40.500000,42.182420
1998,35.800000,36.887692
1999,35,36.248071
2000,38.400000,40.314500
2001,45.400000,45.817313
2002,44.900000,45.066684
2003,45.600000,46.514956
2004,47.400000,47.320410
2005,56,47.550746
2006,68.600000,59.630003
2007,68.400000,59.383047
2008,69.700000,61.636946
2009,75.100000,65.073666
2010,79.400000,73.421580
2011,88.100000,81.493317
2012,105,93.320957
2013,93.100000,82.808086
2014,116,91.177599
2015,130,91.194286
2016,130,87.385144
2017,133,100.111269
2018,133.964400,95.463940
2019,137.052300,101.018985
2020,139.370700,102.501227
2021,141.679100,107.185270
2022,139.959700,
