"Year","SYR production Eora 199.082 (2023)"
1970,6.760000
1971,9.010000
1972,7.920000
1973,8.040000
1974,9.800000
1975,11.300000
1976,13.900000
1977,14.800000
1978,15.400000
1979,22.900000
1980,21.100000
1981,26.900000
1982,24.700000
1983,28.200000
1984,33.400000
1985,29.900000
1986,31.700000
1987,36.500000
1988,37.200000
1989,34.900000
1990,37.600000
1991,42.500000
1992,43.100000
1993,45.800000
1994,46.800000
1995,41.800000
1996,43
1997,41.100000
1998,50.500000
1999,52.500000
2000,51.200000
2001,48.800000
2002,39.200000
2003,54.400000
2004,51.200000
2005,50.700000
2006,53.600000
2007,66.500000
2008,67.600000
2009,62.600000
2010,61.800000
2011,57.200000
2012,44.700000
2013,36.800000
2014,31.100000
2015,47.400000
2016,45.700000
2017,45.400000
2018,44.446870
2019,44.570290
2020,44.693700
2021,44.817110
2022,44.940160
