"Year","FJI production Eora 199.082 (2023)","FJI consumption Eora 199.082 (2023)","FJI net_trade Eora 199.082 (2023)"
1970,0.526000,0.095444,-0.430556
1971,0.552000,-0.173679,-0.725679
1972,0.586000,-0.568566,-1.154566
1973,0.637000,-0.681559,-1.318559
1974,0.678000,-0.557852,-1.235852
1975,0.626000,-0.149126,-0.775126
1976,0.491000,0.114637,-0.376363
1977,0.773000,1.026938,0.253938
1978,0.717000,1.023134,0.306134
1979,0.846000,1.497302,0.651302
1980,0.802000,1.580304,0.778304
1981,1.090000,1.865161,0.775161
1982,0.845000,1.252436,0.407436
1983,0.718000,0.635920,-0.082080
1984,0.587000,0.220305,-0.366695
1985,0.582000,1.374267,0.792267
1986,0.608000,-1.962741,-2.570741
1987,0.482000,-2.174415,-2.656415
1988,0.560000,0.079432,-0.480568
1989,0.636000,1.297601,0.661601
1990,0.813000,1.303406,0.490406
1991,0.673000,1.159181,0.486181
1992,0.747000,0.581461,-0.165539
1993,0.750000,-2.772206,-3.522206
1994,0.749000,-1.050344,-1.799344
1995,0.765000,1.137930,0.372930
1996,0.824000,1.008019,0.184019
1997,0.797000,1.100875,0.303875
1998,0.768000,0.969802,0.201802
1999,0.785000,1.027284,0.242284
2000,0.839000,0.982766,0.143766
2001,1.060000,1.223307,0.163307
2002,0.891000,1.091885,0.200885
2003,1.050000,1.340625,0.290625
2004,1.350000,1.710537,0.360537
2005,1.090000,1.520295,0.430295
2006,1.210000,1.748474,0.538474
2007,1.160000,1.688253,0.528253
2008,0.900000,1.611490,0.711490
2009,0.794000,1.341956,0.547956
2010,1.220000,1.725991,0.505991
2011,1.080000,1.681632,0.601632
2012,1.050000,1.583985,0.533985
2013,1.150000,1.846098,0.696098
2014,1.290000,1.945131,0.655131
2015,1.350000,1.986698,0.636698
2016,1.530000,1.484909,-0.045091
2017,1.580000,1.469255,-0.110745
2018,1.784415,2.020991,0.236576
2019,1.857057,2.163666,0.306609
2020,1.943421,2.297273,0.353852
2021,2.040568,2.293432,0.252864
2022,1.279961,1.927146,0.647185
