"Year","GUY production Eora 199.082 (2023)","GUY consumption Eora 199.082 (2023)"
1970,2.010000,4.251551
1971,1.910000,4.400110
1972,1.990000,6.240561
1973,2.300000,13.297500
1974,1.980000,19.715380
1975,2.320000,23.683920
1976,2.230000,27.374200
1977,2.420000,23.006970
1978,2.620000,20.302700
1979,1.940000,22.316080
1980,2.280000,26.576410
1981,2.290000,24.267670
1982,1.790000,16.127310
1983,1.590000,13.746220
1984,1.790000,13.048320
1985,1.810000,15.821470
1986,1.330000,9.220447
1987,1.670000,11.382100
1988,1.790000,14.552800
1989,1.510000,19.827200
1990,1.440000,21.047290
1991,1.450000,19.675210
1992,1.440000,24.886200
1993,1.440000,20.303500
1994,1.440000,23.653120
1995,1.470000,28.563760
1996,1.540000,28.987510
1997,1.690000,25.437470
1998,1.780000,24.107690
1999,1.730000,23.640790
2000,1.690000,29.782500
2001,2.100000,25.508500
2002,1.660000,28.788880
2003,1.670000,28.593940
2004,1.670000,29.619510
2005,1.470000,32.799270
2006,1.320000,36.742880
2007,1.600000,43.716060
2008,1.590000,50.125770
2009,1.600000,49.319620
2010,1.760000,59.722800
2011,1.820000,69.174920
2012,2.030000,52.660460
2013,1.980000,52.049430
2014,2.050000,51.833410
2015,2.040000,52.814810
2016,2.150000,3.808163
2017,2.170000,4.492089
2018,2.322666,3.867667
2019,2.429480,2.914765
2020,5.334558,4.877028
2021,5.590625,4.948463
2022,9.083655,6.938714
