"Year","UZB production Eora 199.082 (2023)","UZB consumption Eora 199.082 (2023)"
1970,52.400000,2013.471000
1971,56.700000,3273.129000
1972,59.800000,5088.444000
1973,63,6369.942000
1974,66.100000,5823.470000
1975,70.300000,3636.432000
1976,74.200000,2325.598000
1977,77.700000,182.649500
1978,81.500000,865.968000
1979,83.600000,242.053000
1980,87.300000,91.833180
1981,90.400000,116.866800
1982,92.900000,227.206200
1983,95.800000,530.090100
1984,98.300000,2013.355000
1985,105,119.119800
1986,104,11832.060000
1987,112,12545.880000
1988,117,2923.925000
1989,116,134.980700
1990,115,132.290100
1991,115,114.861200
1992,108,487.874200
1993,109,2743.332000
1994,104,1174.808000
1995,104,93.755080
1996,108,250.007000
1997,106,94.153550
1998,103,94.378320
1999,107,99.861800
2000,112,99.721940
2001,112,94.575090
2002,116,97.352230
2003,112,93.677520
2004,109,91.086090
2005,106,88.723360
2006,109,94.030080
2007,108,93.553710
2008,118,100.903100
2009,111,100.499000
2010,106,95.801070
2011,109,97.526890
2012,109,98.729640
2013,99.100000,91.154100
2014,101,90.695470
2015,97,89.462740
2016,97.500000,88.972230
2017,101,85.263760
2018,96.230120,83.822780
2019,94.586950,82.311440
2020,92.459210,80.096420
2021,90.108510,77.235340
2022,88.237340,73.400200
