"Year","MEX production EXIOBASE 3.8.2","MEX production WIOD2016","MEX production OECDv2","MEX production Eora 199.082 (2023)","MEX production FIGARO April 2022","MEX production GCB 2023v26","MEX consumption EXIOBASE 3.8.2","MEX consumption WIOD2016","MEX consumption OECDv2","MEX consumption Eora 199.082 (2023)","MEX consumption FIGARO April 2022","MEX consumption GCB 2023v26","MEX net_trade EXIOBASE 3.8.2","MEX net_trade WIOD2016","MEX net_trade OECDv2","MEX net_trade Eora 199.082 (2023)","MEX net_trade FIGARO April 2022","MEX net_trade GCB 2023v26"
1970,,,,188,,,,,,186.839300,,,,,,-1.160700,,
1971,,,,198,,,,,,195.878500,,,,,,-2.121500,,
1972,,,,194,,,,,,191.045000,,,,,,-2.955000,,
1973,,,,194,,,,,,192.785900,,,,,,-1.214100,,
1974,,,,216,,,,,,218.171100,,,,,,2.171100,,
1975,,,,224,,,,,,230.150900,,,,,,6.150900,,
1976,,,,245,,,,,,251.657800,,,,,,6.657800,,
1977,,,,224,,,,,,231.043500,,,,,,7.043500,,
1978,,,,268,,,,,,279.775900,,,,,,11.775900,,
1979,,,,271,,,,,,293.170800,,,,,,22.170800,,
1980,,,,299,,,,,,329.101700,,,,,,30.101700,,
1981,,,,322,,,,,,352.824200,,,,,,30.824200,,
1982,,,,367,,,,,,361.398900,,,,,,-5.601100,,
1983,,,,310,,,,,,296.774900,,,,,,-13.225100,,
1984,,,,288,,,,,,278.476500,,,,,,-9.523500,,
1985,,,,271,,,,,,273.518100,,,,,,2.518100,,
1986,,,,281,,,,,,261.245500,,,,,,-19.754500,,
1987,,,,295,,,,,,271.377900,,,,,,-23.622100,,
1988,,,,285,,,,,,282.779700,,,,,,-2.220300,,
1989,,,,311,,,,,,325.861700,,,,,,14.861700,,
1990,,,,322,,317.042355,,,,333.015800,,321.418956,,,,11.015800,,4.376601
1991,,,,331,,330.133158,,,,336.440600,,338.722369,,,,5.440600,,8.589211
1992,,,,334,,332.780138,,,,344.735900,,346.332567,,,,10.735900,,13.552429
1993,,,,337,,338.067214,,,,339.436700,,352.444605,,,,2.436700,,14.377391
1994,,,,358,,351.843109,,,,366.426700,,364.651277,,,,8.426700,,12.808168
1995,306.146490,,295.963926,350,,331.142707,311.870944,,281.697327,327.941500,,322.713958,5.724454,,-14.266599,-22.058500,,-8.428748
1996,321.025410,,308.757794,378,,341.764680,324.925166,,296.233462,355.285800,,338.771785,3.899756,,-12.524332,-22.714200,,-2.992895
1997,340.088233,,319.125737,408,,362.680012,358.080015,,319.959226,388.746600,,375.013655,17.991782,,0.833489,-19.253400,,12.333643
1998,363.111575,,338.060979,433,,381.307642,385.405699,,348.860655,406.826000,,398.907191,22.294124,,10.799677,-26.174000,,17.599548
1999,354.380182,,334.090924,414,,386.270264,385.042108,,353.458896,396.231900,,407.858119,30.661926,,19.367972,-17.768100,,21.587854
2000,379.143623,407.039891,349.500007,417,,391.724994,422.641307,439.922415,386.105607,414.532800,,439.718615,43.497684,32.882524,36.605600,-2.467200,,47.993621
2001,379.352242,409.603389,350.056523,406,,407.730605,431.721158,450.058073,390.278123,406.451500,,448.768982,52.368916,40.454685,40.221600,0.451500,,41.038377
2002,387.333369,416.042460,356.621120,421,,410.506056,430.905471,452.707738,389.149773,419.370100,,452.845375,43.572102,36.665278,32.528653,-1.629900,,42.339320
2003,405.564526,428.821929,362.876560,419,,436.179739,426.520081,449.861820,389.284860,418.348100,,451.526961,20.955555,21.039891,26.408300,-0.651900,,15.347223
2004,416.955433,437.389173,368.470301,423,,438.799530,442.730454,466.919680,400.360766,414.265100,,470.170039,25.775021,29.530506,31.890465,-8.734900,,31.370509
2005,438.118942,452.948549,385.516364,437,,463.643956,465.050318,487.376062,423.064240,426.712000,,490.332537,26.931377,34.427513,37.547876,-10.288000,,26.688582
2006,455.341491,467.381317,394.666989,459,,474.744220,489.950122,509.566937,435.906840,443.573800,,504.696064,34.608631,42.185620,41.239850,-15.426200,,29.951844
2007,463.971694,478.514016,409.703009,499,,473.747890,501.667600,520.051822,451.892080,476.979600,,497.757836,37.695907,41.537805,42.189071,-22.020400,,24.009946
2008,465.774034,475.875264,403.588505,577,,473.107283,497.151426,516.824497,447.932525,535.045100,,505.166925,31.377391,40.949233,44.344020,-41.954900,,32.059642
2009,454.841522,471.244897,399.658433,537,,460.417351,456.334384,475.656352,410.264268,499.316100,,485.903238,1.492862,4.411455,10.605835,-37.683900,,25.485887
2010,470.562078,480.742359,417.782450,510,485.624422,456.597413,468.244667,498.075107,437.194308,485.763400,541.361592,495.317696,-2.317410,17.332748,19.411858,-24.236600,55.737170,38.720282
