"Year","TUN production OECDv2","TUN production Eora 199.082 (2023)","TUN production GCB 2023v26"
1970,,3.860000,
1971,,4.340000,
1972,,4.860000,
1973,,4.970000,
1974,,5.550000,
1975,,5.690000,
1976,,5.990000,
1977,,6.910000,
1978,,7.650000,
1979,,8.930000,
1980,,9.640000,
1981,,9.980000,
1982,,9.670000,
1983,,11.400000,
1984,,11.700000,
1985,,12.100000,
1986,,12.200000,
1987,,11.900000,
1988,,12.600000,
1989,,13.300000,
1990,,13.300000,13.483229
1991,,15.600000,16.005549
1992,,15.100000,15.275014
1993,,16.600000,16.616588
1994,,16,16.135007
1995,14.166006,15.700000,16.271665
1996,14.921559,16.800000,16.619229
1997,15.677115,17,17.218461
1998,16.361322,18,17.787745
1999,17.187370,18.400000,18.639805
2000,17.976950,20,19.554613
2001,18.768786,20.800000,20.429640
2002,18.711009,20.800000,20.680183
2003,18.605614,21.100000,21.142368
2004,19.321614,22.100000,22.094576
2005,20.148037,22.500000,22.548993
2006,20.437131,22.800000,22.969948
2007,21.031573,23.900000,24.591037
2008,21.455901,24.600000,25.540793
2009,21.355653,24.600000,25.421649
2010,23.022487,27.300000,28.137811
2011,21.841964,25.800000,26.436429
2012,,26.600000,28.455854
2013,,27.100000,28.333023
2014,,28.100000,29.692062
2015,,24.500000,31.418043
2016,,23.500000,30.591786
2017,,24.700000,31.271625
2018,,25.356770,31.134054
2019,,25.219450,30.353465
2020,,25.461460,28.493461
2021,,25.936940,35.208384
2022,,22.140270,
