"Year","SOM production Eora 199.082 (2023)","SOM consumption Eora 199.082 (2023)","SOM net_trade Eora 199.082 (2023)"
1970,0.230000,-0.220205,-0.450205
1971,0.201000,-0.593667,-0.794667
1972,0.249000,-1.026839,-1.275839
1973,0.278000,-1.156073,-1.434073
1974,0.345000,-1.678672,-2.023672
1975,0.518000,-1.063189,-1.581189
1976,0.498000,-1.132080,-1.630080
1977,0.818000,0.947779,0.129779
1978,0.578000,0.504388,-0.073612
1979,0.511000,1.033420,0.522420
1980,0.839000,1.206411,0.367411
1981,0.300000,0.548964,0.248964
1982,0.744000,0.748401,0.004401
1983,0.960000,0.456393,-0.503607
1984,0.740000,-0.057976,-0.797976
1985,0.883000,1.337393,0.454393
1986,0.981000,-3.277934,-4.258934
1987,1.060000,-5.503396,-6.563396
1988,1.030000,-0.493667,-1.523667
1989,0.978000,1.492821,0.514821
1990,0.756000,1.076431,0.320431
1991,0.732000,0.921868,0.189868
1992,0.705000,0.125626,-0.579375
1993,0.664000,-3.650820,-4.314820
1994,0.653000,-1.615847,-2.268847
1995,0.612000,0.699685,0.087685
1996,0.592000,0.486735,-0.105265
1997,0.564000,0.721537,0.157537
1998,0.538000,0.611841,0.073841
1999,0.517000,0.591211,0.074211
2000,0.507000,0.575441,0.068441
2001,0.530000,0.596457,0.066457
2002,0.615000,0.673250,0.058250
2003,0.623000,0.687222,0.064222
2004,0.625000,0.701100,0.076100
2005,0.626000,0.713475,0.087475
2006,0.627000,0.714669,0.087669
2007,0.642000,0.726209,0.084209
2008,0.636000,0.721003,0.085003
2009,0.632000,0.708598,0.076598
2010,0.647000,0.689074,0.042074
2011,0.640000,0.701346,0.061346
2012,0.642000,0.698427,0.056427
2013,0.646000,0.712095,0.066095
2014,0.646000,0.685291,0.039291
2015,0.675000,0.705742,0.030742
2016,0.667000,0.640621,-0.026379
2017,0.709000,0.680861,-0.028139
2018,0.701764,0.658524,-0.043240
2019,0.711662,0.685076,-0.026586
2020,0.721327,0.690816,-0.030511
2021,0.730758,0.696681,-0.034077
2022,0.740165,0.700628,-0.039537
