"Year","AND production Eora 199.082 (2023)","AND consumption Eora 199.082 (2023)","AND net_trade Eora 199.082 (2023)"
1970,0.260000,-0.150180,-0.410180
1971,0.275000,-0.398202,-0.673202
1972,0.298000,-0.765465,-1.063465
1973,0.333000,-0.931273,-1.264273
1974,0.335000,-0.920362,-1.255362
1975,0.320000,-0.542866,-0.862866
1976,0.359000,-0.266950,-0.625950
1977,0.356000,0.333349,-0.022651
1978,0.378000,0.292955,-0.085045
1979,0.395000,0.569018,0.174018
1980,0.393000,0.579634,0.186634
1981,0.366000,0.528668,0.162668
1982,0.363000,0.325375,-0.037625
1983,0.362000,-0.107139,-0.469139
1984,0.366000,-0.325933,-0.691933
1985,0.370000,0.634065,0.264065
1986,0.372000,-1.960680,-2.332680
1987,0.379000,-2.142336,-2.521336
1988,0.392000,-0.309525,-0.701525
1989,0.421000,0.782790,0.361790
1990,0.432000,0.739598,0.307598
1991,0.439000,0.749622,0.310622
1992,0.447000,0.036872,-0.410128
1993,0.457000,-3.157785,-3.614785
1994,0.461000,-1.462032,-1.923032
1995,0.488000,0.721346,0.233346
1996,0.518000,0.569573,0.051573
1997,0.530000,0.782901,0.252901
1998,0.557000,0.766672,0.209672
1999,0.579000,0.798161,0.219161
2000,0.591000,0.800123,0.209123
2001,0.592000,0.831143,0.239143
2002,0.599000,0.850362,0.251362
2003,0.600000,0.896367,0.296367
2004,0.627000,0.968711,0.341711
2005,0.642000,1.005239,0.363239
2006,0.611000,1.016598,0.405598
2007,0.607000,1.039290,0.432290
2008,0.605000,1.023634,0.418634
2009,0.583000,0.930770,0.347770
2010,0.586000,0.938361,0.352361
2011,0.556000,0.919197,0.363197
2012,0.550000,0.886691,0.336692
2013,0.544000,0.865250,0.321250
2014,0.530000,0.824255,0.294255
2015,0.532000,0.831229,0.299229
2016,0.538000,0.249607,-0.288394
2017,0.541000,0.193162,-0.347838
2018,0.541000,0.642885,0.101885
2019,0.541000,0.637333,0.096333
2020,0.541000,0.646475,0.105475
2021,0.541000,0.643898,0.102898
2022,0.520162,0.641423,0.121261
