"Year","TKM production Eora 199.082 (2023)","TKM consumption Eora 199.082 (2023)","TKM net_trade Eora 199.082 (2023)"
1970,9.250000,-107.230700,-116.480700
1971,10,-180.929900,-190.929900
1972,10.700000,-279.097800,-289.797800
1973,11.400000,-336.980000,-348.380000
1974,12.200000,-284.214700,-296.414700
1975,13,-160.863900,-173.863900
1976,13.600000,-90.935700,-104.535700
1977,14.200000,14.249800,0.049800
1978,15,-19.547820,-34.547820
1979,15.300000,7.670410,-7.629590
1980,15.800000,15.954830,0.154830
1981,16.300000,15.950970,-0.349030
1982,16.600000,16.897320,0.297320
1983,17.100000,16.086090,-1.013910
1984,17.500000,-56.313440,-73.813440
1985,18.300000,19.938820,1.638820
1986,18.100000,-565.472700,-583.572700
1987,19.300000,-615.922400,-635.222400
1988,19.900000,-132.035600,-151.935600
1989,19.800000,23.411600,3.611600
1990,19.600000,23.047000,3.447000
1991,19.600000,23.394850,3.794850
1992,15.300000,17.351800,2.051800
1993,13.300000,8.586055,-4.713945
1994,16.400000,15.624350,-0.775650
1995,17.700000,20.681630,2.981630
1996,18,18.507950,0.507950
1997,18.500000,18.568180,0.068180
1998,21,20.998370,-0.001630
1999,26.300000,27.111470,0.811470
2000,27,27.313110,0.313110
2001,26.500000,28.869040,2.369040
2002,27.500000,29.398030,1.898030
2003,29.800000,33.356080,3.556080
2004,29.600000,33.591180,3.991180
2005,31.900000,34.738670,2.838670
2006,34.100000,34.149640,0.049640
2007,37.800000,36.766340,-1.033660
2008,39.900000,37.826500,-2.073500
2009,35.800000,37.916460,2.116460
2010,41.100000,40.415130,-0.684870
2011,44.500000,42.934970,-1.565030
2012,47,45.128540,-1.871460
2013,48.500000,47.537660,-0.962340
2014,49.800000,46.433740,-3.366260
2015,58,51.949990,-6.050010
2016,56.300000,63.915070,7.615070
2017,58.600000,62.039800,3.439800
2018,60.390600,61.756120,1.365520
2019,67.206770,54.496360,-12.710410
2020,68.552420,57.727480,-10.824940
2021,69.917040,60.069480,-9.847560
2022,73.045690,64.273100,-8.772590
