"Year","KOR production EXIOBASE 3.8.2","KOR production WIOD2016","KOR production OECDv2","KOR production Eora 199.082 (2023)","KOR production FIGARO April 2022","KOR production GCB 2023v26"
1970,,,,59,,
1971,,,,64,,
1972,,,,65.900000,,
1973,,,,79.600000,,
1974,,,,82.700000,,
1975,,,,89,,
1976,,,,102,,
1977,,,,115,,
1978,,,,119,,
1979,,,,140,,
1980,,,,141,,
1981,,,,146,,
1982,,,,148,,
1983,,,,161,,
1984,,,,182,,
1985,,,,201,,
1986,,,,205,,
1987,,,,213,,
1988,,,,244,,
1989,,,,257,,
1990,,,,268,,250.510837
1991,,,,288,,275.688225
1992,,,,306,,299.905413
1993,,,,341,,330.173952
1994,,,,362,,355.694835
1995,409.244513,,358.763007,390,,383.665454
1996,434.773465,,383.813251,423,,420.996075
1997,456.931401,,408.052880,449,,444.967619
1998,392.338302,,351.090563,382,,378.037781
1999,428.544569,,385.408450,414,,410.518806
2000,484.181486,541.726040,437.825604,448,,439.980692
2001,498.555150,557.629333,452.213340,464,,455.630633
2002,490.785169,551.011969,446.305088,485,,476.064880
2003,491.945083,551.311711,449.024293,494,,485.212785
2004,514.808510,565.634007,469.966899,500,,491.389426
2005,512.062382,566.460823,469.340563,508,,498.688299
2006,522.348671,577.235251,477.391580,511,,503.478183
2007,540.847102,585.159359,491.295712,530,,521.708715
2008,557.284983,596.508389,502.492974,544,,532.650764
2009,567.398686,610.279445,516.051025,549,,537.819831
2010,617.412930,663.509000,565.067642,600,661.696323,594.339110
2011,641.871073,682.372615,590.537286,633,680.939886,623.442837
2012,642.454857,683.843248,,637,681.119075,627.943034
2013,639.383451,679.447762,,646,681.510097,634.580703
2014,636.265461,670.005036,,639,675.653488,629.366484
2015,657.436231,,,652,689.015919,634.177278
2016,664.336594,,,659,720.267709,637.914084
2017,674.232917,,,673,728.667500,654.537269
2018,691.989382,,,685.432800,733.367807,670.168699
2019,668.264659,,,688.062700,706.977086,646.102263
2020,671.990500,,,693.059400,657.465272,597.634251
2021,702.905898,,,702.594900,,616.074988
2022,718.419281,,,626.914800,,
