"Year","BIH production Eora 199.082 (2023)","BIH consumption Eora 199.082 (2023)","BIH net_trade Eora 199.082 (2023)"
1970,16.100000,15.526900,-0.573100
1971,17.500000,16.534130,-0.965870
1972,16.900000,15.419780,-1.480220
1973,19.400000,17.692020,-1.707980
1974,19.500000,17.805790,-1.694210
1975,20,18.808760,-1.191240
1976,20.700000,19.816500,-0.883500
1977,19.800000,19.679350,-0.120650
1978,21.200000,20.985980,-0.214020
1979,22.800000,22.834660,0.034660
1980,21.800000,21.840630,0.040630
1981,24.300000,24.303250,0.003250
1982,21.600000,21.522040,-0.077960
1983,24.100000,23.515210,-0.584790
1984,25.900000,25.083800,-0.816200
1985,26.100000,26.652270,0.552270
1986,26.700000,23.725170,-2.974830
1987,26.400000,23.247180,-3.152820
1988,27,26.281240,-0.718760
1989,26.600000,27.601020,1.001020
1990,26.700000,27.841350,1.141350
1991,24.700000,25.605660,0.905660
1992,8.860000,9.331319,0.471319
1993,5.040000,1.092031,-3.947969
1994,5.400000,3.578072,-1.821928
1995,4.920000,5.342810,0.422810
1996,6.810000,7.017944,0.207944
1997,9.330000,9.253894,-0.076106
1998,13.100000,13.008960,-0.091040
1999,13.100000,13.107910,0.007910
2000,14.300000,13.944540,-0.355460
2001,14.800000,14.736780,-0.063220
2002,15.600000,15.675280,0.075280
2003,15.500000,15.847950,0.347950
2004,16.500000,16.635820,0.135820
2005,16.800000,15.242870,-1.557130
2006,17.900000,17.322900,-0.577100
2007,17.800000,17.359160,-0.440840
2008,19.700000,19.160770,-0.539230
2009,19.800000,19.246070,-0.553930
2010,20.200000,19.180570,-1.019430
2011,22.200000,20.814300,-1.385700
2012,20.500000,19.057420,-1.442580
2013,20.200000,18.716390,-1.483610
2014,22.500000,20.563100,-1.936900
2015,20.900000,19.472960,-1.427040
2016,21.800000,18.424250,-3.375750
2017,22.200000,18.342920,-3.857080
2018,23.187870,19.956510,-3.231360
2019,23.815160,20.131010,-3.684150
2020,24.423650,21.090060,-3.333590
2021,25.012780,20.959600,-4.053180
2022,25.749040,21.167580,-4.581460
