"Year","CPV production Eora 199.082 (2023)","CPV consumption Eora 199.082 (2023)","CPV net_trade Eora 199.082 (2023)"
1970,0.039200,-0.285532,-0.324732
1971,0.039200,-0.543775,-0.582975
1972,0.053900,-0.902298,-0.956198
1973,0.064900,-1.081783,-1.146683
1974,0.075900,-1.039032,-1.114932
1975,0.086800,-0.679688,-0.766488
1976,0.083100,-0.451554,-0.534654
1977,0.090400,0.094440,0.004040
1978,0.211000,0.126482,-0.084518
1979,0.252000,0.377720,0.125720
1980,0.124000,0.301080,0.177080
1981,0.035800,0.217036,0.181236
1982,0.039600,0.046746,0.007146
1983,0.039600,-0.338940,-0.378540
1984,0.087300,-0.509969,-0.597269
1985,0.087400,0.364443,0.277043
1986,0.061800,-2.082700,-2.144500
1987,0.083800,-2.255134,-2.338934
1988,0.076600,-0.573779,-0.650379
1989,0.084000,0.419791,0.335791
1990,0.098700,0.388868,0.290168
1991,0.102000,0.388195,0.286195
1992,0.110000,-0.288897,-0.398897
1993,0.114000,-3.582414,-3.696414
1994,0.117000,-1.926963,-2.043963
1995,0.125000,0.370261,0.245261
1996,0.147000,0.194692,0.047692
1997,0.151000,0.395320,0.244320
1998,0.162000,0.355319,0.193319
1999,0.188000,0.397067,0.209067
2000,0.221000,0.388585,0.167585
2001,0.239000,0.434842,0.195842
2002,0.280000,0.498752,0.218752
2003,0.313000,0.541220,0.228220
2004,0.335000,0.594205,0.259205
2005,0.445000,0.699516,0.254516
2006,0.478000,0.758174,0.280174
2007,0.511000,0.821428,0.310428
2008,0.475000,0.806738,0.331738
2009,0.530000,0.851027,0.321027
2010,0.563000,0.874271,0.311271
2011,0.622000,0.962125,0.340125
2012,0.512000,0.823219,0.311220
2013,0.504000,0.792890,0.288890
2014,0.492000,0.757375,0.265375
2015,0.704000,0.951744,0.247744
2016,0.754000,0.337737,-0.416263
2017,0.794000,0.313436,-0.480564
2018,0.755206,0.761755,0.006548
2019,0.787279,0.806985,0.019706
2020,0.825165,0.850987,0.025821
2021,0.863782,0.857669,-0.006112
2022,0.820391,0.849053,0.028662
