"Year","TKM production Eora 199.082 (2023)","TKM consumption Eora 199.082 (2023)"
1970,9.250000,-107.230700
1971,10,-180.929900
1972,10.700000,-279.097800
1973,11.400000,-336.980000
1974,12.200000,-284.214700
1975,13,-160.863900
1976,13.600000,-90.935700
1977,14.200000,14.249800
1978,15,-19.547820
1979,15.300000,7.670410
1980,15.800000,15.954830
1981,16.300000,15.950970
1982,16.600000,16.897320
1983,17.100000,16.086090
1984,17.500000,-56.313440
1985,18.300000,19.938820
1986,18.100000,-565.472700
1987,19.300000,-615.922400
1988,19.900000,-132.035600
1989,19.800000,23.411600
1990,19.600000,23.047000
1991,19.600000,23.394850
1992,15.300000,17.351800
1993,13.300000,8.586055
1994,16.400000,15.624350
1995,17.700000,20.681630
1996,18,18.507950
1997,18.500000,18.568180
1998,21,20.998370
1999,26.300000,27.111470
2000,27,27.313110
2001,26.500000,28.869040
2002,27.500000,29.398030
2003,29.800000,33.356080
2004,29.600000,33.591180
2005,31.900000,34.738670
2006,34.100000,34.149640
2007,37.800000,36.766340
2008,39.900000,37.826500
2009,35.800000,37.916460
2010,41.100000,40.415130
2011,44.500000,42.934970
2012,47,45.128540
2013,48.500000,47.537660
2014,49.800000,46.433740
2015,58,51.949990
2016,56.300000,63.915070
2017,58.600000,62.039800
2018,60.390600,61.756120
2019,67.206770,54.496360
2020,68.552420,57.727480
2021,69.917040,60.069480
2022,73.045690,64.273100
