"Year","CRI production OECDv2","CRI production Eora 199.082 (2023)","CRI production GCB 2023v26"
1970,,1.240000,
1971,,1.490000,
1972,,1.710000,
1973,,1.980000,
1974,,1.860000,
1975,,1.990000,
1976,,2.030000,
1977,,2.530000,
1978,,2.830000,
1979,,2.720000,
1980,,2.410000,
1981,,2.190000,
1982,,2.040000,
1983,,2.060000,
1984,,1.960000,
1985,,2.210000,
1986,,2.530000,
1987,,2.660000,
1988,,2.840000,
1989,,2.880000,
1990,,2.840000,2.913015
1991,,3.240000,3.287914
1992,,3.680000,3.741868
1993,,3.860000,3.890892
1994,,5.150000,5.199850
1995,4.368811,4.790000,4.800770
1996,4.107376,4.720000,4.686377
1997,4.004712,4.930000,4.916182
1998,4.480701,5.200000,5.234101
1999,4.517559,5.330000,5.437766
2000,4.443918,5.280000,5.393873
2001,4.827266,5.450000,5.666567
2002,4.932246,5.910000,6.245400
2003,5.269465,6.160000,6.582545
2004,5.371720,6.350000,6.841678
2005,5.670370,6.130000,6.723403
2006,5.865454,6.500000,7.006724
2007,6.581209,7.220000,7.960740
2008,6.577565,7.270000,7.989944
2009,6.220604,7.090000,7.747752
2010,6.507282,6.960000,7.492647
2011,6.668959,7.110000,7.310815
2012,,7.100000,7.260085
2013,,6.930000,7.631517
2014,,7.070000,7.748309
2015,,8.470000,7.406021
2016,,8.810000,7.855934
2017,,8.750000,8.029008
2018,,8.664013,8.012376
2019,,8.787670,7.698382
2020,,8.949525,6.763180
2021,,9.134709,7.638232
2022,,9.322762,
