"Year","ESP production EXIOBASE 3.8.2","ESP production WIOD2016","ESP production OECDv2","ESP production Eora 199.082 (2023)","ESP production FIGARO April 2022","ESP production GCB 2023v26","ESP production Eurostat NAMEA","ESP consumption EXIOBASE 3.8.2","ESP consumption WIOD2016","ESP consumption OECDv2","ESP consumption Eora 199.082 (2023)","ESP consumption FIGARO April 2022","ESP consumption GCB 2023v26"
1970,,,,127,,,,,,,125.506100,,
1971,,,,139,,,,,,,136.702700,,
1972,,,,155,,,,,,,152.021400,,
1973,,,,167,,,,,,,163.065000,,
1974,,,,185,,,,,,,180.410400,,
1975,,,,194,,,,,,,191.158800,,
1976,,,,211,,,,,,,211.066900,,
1977,,,,207,,,,,,,208.458000,,
1978,,,,209,,,,,,,206.126100,,
1979,,,,214,,,,,,,216.621200,,
1980,,,,224,,,,,,,225.272100,,
1981,,,,218,,,,,,,215.487900,,
1982,,,,219,,,,,,,216.157800,,
1983,,,,213,,,,,,,205.339600,,
1984,,,,207,,,,,,,198.585000,,
1985,,,,218,,,,,,,219.150800,,
1986,,,,200,,,,,,,178.114500,,
1987,,,,200,,,,,,,181.849800,,
1988,,,,208,,,,,,,222.412400,,
1989,,,,244,,,,,,,275.772700,,
1990,,,,236,,230.500247,,,,,279.105500,,264.913755
1991,,,,246,,240.230727,,,,,294.130200,,270.628879
1992,,,,253,,248.631805,,,,,294.985800,,292.392332
1993,,,,245,,240.046063,,,,,252.967300,,272.007351
1994,,,,257,,252.300019,,,,,273.599500,,275.615677
1995,254.658197,,231.991513,271,,266.034891,,276.315795,,256.650541,309.369100,,287.612699
1996,245.387063,,221.631747,259,,253.497865,,281.921617,,246.361157,307.202000,,272.145231
1997,265.225706,,239.941409,272,,265.832151,,287.390590,,254.671102,317.454900,,277.698224
1998,272.895764,,247.981792,281,,274.604895,,301.449218,,273.572277,340.643200,,291.780312
1999,297.348631,,267.514153,305,,298.074658,,328.629708,,299.157514,369.883900,,315.556017
2000,312.323084,311.656224,283.319433,317,,310.071242,,349.492821,340.868812,312.532089,389.906900,,335.255281
2001,313.089392,317.726364,284.826791,317,,311.808516,,351.600039,347.959821,317.602916,392.493300,,335.740089
2002,331.687173,338.196278,301.054869,337,,331.949764,,369.014101,367.697444,336.560941,410.990100,,358.857194
2003,338.769327,343.679524,308.933908,343,,336.332171,,386.250686,391.554286,358.305034,430.985600,,358.650286
2004,356.631174,356.073744,326.590073,359,,353.010950,,416.182376,419.469943,382.959107,456.978400,,385.580798
2005,371.353954,367.776109,338.861756,373,,368.338139,,439.400836,442.629372,406.232608,475.906800,,411.235672
2006,364.244693,359.909540,330.797401,363,,359.653424,,442.773591,455.866828,414.394520,478.463900,,416.306560
2007,378.395392,374.957504,342.693468,372,,367.399091,,469.633448,472.701929,428.311556,495.176100,,428.441692
2008,347.207741,348.386197,315.996310,340,,335.887271,344.335370,425.851320,440.304822,394.516455,470.433700,,393.270301
2009,309.869330,308.149870,281.218358,300,,296.500276,304.669283,359.275965,368.968596,340.814519,401.920800,,345.547098
2010,296.639433,295.044683,267.082639,287,290.748622,282.937099,291.678320,334.153170,351.988605,329.947862,398.828400,379.672937,328.190077
2011,297.687888,296.508727,269.482035,288,291.341641,283.799321,292.821244,325.127407,343.042786,320.701951,386.720500,362.795889,320.995378
2012,292.386623,292.142425,,283,285.527319,278.060410,287.278790,301.512227,316.871889,,369.996200,334.109285,295.093728
2013,266.065299,266.557710,,255,259.463833,251.940318,261.180895,278.230867,292.401364,,341.442900,296.266507,275.641228
2014,263.957152,270.385533,,258,263.076999,254.179717,264.607572,283.478324,299.998928,,340.702700,304.857583,281.017550
2015,278.897451,,,274,280.370480,270.767456,282.005816,291.848538,,,352.367900,318.256010,281.666342
2016,269.808147,,,263,270.213289,259.629381,271.649557,282.736285,,,286.042500,304.429799,273.678868
2017,285.637326,,,278,284.366985,273.592191,285.780449,292.013082,,,302.275400,318.532124,293.601767
2018,279.611695,,,298.613200,279.972008,268.600525,280.958072,301.364506,,,338.894000,325.090821,296.840875
2019,267.950379,,,303.934400,262.692992,250.660790,263.535275,278.334683,,,332.312900,310.060749,281.757086
2020,267.501188,,,307.154800,213.314569,213.625432,218.146574,283.284768,,,357.109200,253.314369,250.936816
2021,268.513972,,,309.532600,,230.269459,233.699707,291.303710,,,343.550100,,272.184187
2022,269.721443,,,251.129600,,,,292.594636,,,303.536600,,
