"Year","PRT production EXIOBASE 3.8.2","PRT production WIOD2016","PRT production OECDv2","PRT production Eora 199.082 (2023)","PRT production FIGARO April 2022","PRT production GCB 2023v26","PRT production Eurostat NAMEA","PRT consumption EXIOBASE 3.8.2","PRT consumption WIOD2016","PRT consumption OECDv2","PRT consumption Eora 199.082 (2023)","PRT consumption FIGARO April 2022","PRT consumption GCB 2023v26"
1970,,,,19.200000,,,,,,,18.738360,,
1971,,,,20.500000,,,,,,,19.627340,,
1972,,,,22.600000,,,,,,,21.392680,,
1973,,,,24.600000,,,,,,,24.571000,,
1974,,,,25.100000,,,,,,,25.131830,,
1975,,,,25.700000,,,,,,,25.723860,,
1976,,,,26.800000,,,,,,,28.017820,,
1977,,,,27.200000,,,,,,,30.248830,,
1978,,,,27.400000,,,,,,,30.036740,,
1979,,,,29.800000,,,,,,,33.581040,,
1980,,,,31.400000,,,,,,,36.580810,,
1981,,,,31.900000,,,,,,,37.701260,,
1982,,,,34.200000,,,,,,,38.852460,,
1983,,,,35,,,,,,,37.153970,,
1984,,,,33.900000,,,,,,,34.093520,,
1985,,,,31.600000,,,,,,,36.972120,,
1986,,,,35.200000,,,,,,,32.173500,,
1987,,,,36.400000,,,,,,,32.359890,,
1988,,,,37.600000,,,,,,,42.548640,,
1989,,,,46.100000,,,,,,,55.117210,,
1990,,,,46.400000,,45.278821,,,,,56.157940,,51.934261
1991,,,,48.200000,,47.097086,,,,,59.569290,,54.221684
1992,,,,52.400000,,50.920116,,,,,63.932590,,60.059400
1993,,,,50.900000,,49.434030,,,,,52.407100,,58.462719
1994,,,,51.700000,,50.206746,,,,,58.190450,,59.379487
1995,57.048986,,48.016646,55.700000,,54.468373,55.383118,63.817161,,56.323309,69.395910,,63.565042
1996,55.230789,,46.154625,53,,51.761498,52.776436,64.354198,,54.968826,69.287870,,60.778322
1997,57.349727,,48.253893,56,,54.627081,55.578726,65.412943,,57.165136,72.344400,,70.790430
1998,61.861688,,52.899890,60.500000,,59.168596,60.108386,72.175079,,62.966687,76.985720,,80.940953
1999,68.410684,,59.426589,68.100000,,66.837453,67.840005,78.572388,,70.416771,84.681020,,97.947807
2000,65.823300,67.669300,58.959051,66.900000,,65.611377,66.574556,78.352197,85.096505,70.792321,84.289720,,110.916222
2001,65.783319,67.579300,58.548772,66.400000,,65.152490,66.470068,78.369431,87.265598,72.675808,82.615470,,113.379682
2002,70.153903,71.342900,62.478308,70.300000,,69.559706,70.766841,81.310819,89.274746,74.486981,85.953940,,114.014786
2003,64.917675,66.373600,58.030657,65.100000,,64.455823,65.976429,75.356396,84.045229,71.474303,84.389300,,112.096160
2004,66.326898,69.393900,59.394543,67.900000,,67.303336,69.151777,78.884510,87.360662,73.569449,89.200460,,110.798254
2005,69.955472,71.981700,62.616589,70.200000,,69.634615,71.767812,82.660473,90.496558,78.635106,88.742030,,128.634843
2006,65.263927,67.336400,57.280921,65.500000,,64.842824,67.254944,78.055650,84.682417,71.292181,88.290560,,114.687447
2007,63.814253,64.418800,55.570455,63,,62.354621,64.940591,76.078610,81.184934,69.677299,86.610620,,115.508958
2008,62.154875,62.594500,53.673966,60.600000,,60.027936,62.873756,75.015978,79.771371,68.986834,85.078590,,115.016127
2009,61.571067,58.474900,53.073298,57.700000,,57.136403,59.888473,69.630232,74.016271,63.467760,77.245510,,95.478356
2010,56.329828,53.819000,47.819339,53.600000,55.735513,52.933982,55.561702,66.131884,70.427416,58.030856,74.350300,71.917781,95.837032
2011,55.386396,52.720400,47.353679,52.400000,54.579418,51.739807,54.422246,61.370505,66.372898,55.048506,69.959760,65.670452,62.995299
2012,54.401401,51.189800,,50.500000,53.072603,49.898551,52.926545,56.596624,60.265597,,66.278600,56.934550,51.977118
2013,52.805821,49.282800,,48.800000,51.204758,48.102730,50.998976,54.588462,56.615818,,64.063420,54.405533,49.767602
2014,52.485069,49.364000,,48.600000,50.962549,47.885043,50.764787,54.017057,58.149227,,63.310050,56.422309,48.905509
2015,56.699283,,,52.800000,55.075409,52.203440,54.867743,57.454514,,,66.490430,57.884716,51.910671
2016,54.825344,,,51,52.761423,50.366707,52.539318,60.710843,,,50.040430,56.089053,54.516702
2017,59.957235,,,55.300000,57.362758,55.106279,57.187985,63.787802,,,54.055190,60.573057,58.157638
2018,55.453133,,,56.098930,53.888664,51.372728,53.705348,59.294652,,,58.117050,60.306721,55.852532
2019,54.174563,,,57.228070,50.400988,47.494045,50.157045,59.083134,,,57.687330,57.470349,52.339366
2020,56.631828,,,58.038670,45.807545,41.695202,43.782477,62.839629,,,61.899490,51.344841,47.659079
2021,57.399334,,,58.782470,,39.938330,42.744576,61.554090,,,59.548940,,49.069923
2022,58.488404,,,56.942570,,,,62.437424,,,56.524090,,
