"Year","PHL production OECDv2","PHL production Eora 199.082 (2023)","PHL production GCB 2023v26"
1970,,26.100000,
1971,,29,
1972,,27.800000,
1973,,33.100000,
1974,,32.100000,
1975,,33.900000,
1976,,36.700000,
1977,,38.400000,
1978,,39,
1979,,39.700000,
1980,,38.500000,
1981,,36.100000,
1982,,36.200000,
1983,,36.700000,
1984,,32.200000,
1985,,29.300000,
1986,,30.600000,
1987,,34.100000,
1988,,39.100000,
1989,,40.600000,
1990,,43.100000,41.349500
1991,,45.200000,43.471884
1992,,50.100000,48.292795
1993,,50.800000,48.928835
1994,,56,54.158223
1995,56.889182,61.800000,59.964618
1996,61.507132,63.300000,61.265048
1997,68.253022,72.300000,70.069357
1998,68.682621,70.100000,68.263621
1999,66.385539,70.300000,68.187856
2000,67.415589,74.500000,72.356792
2001,67.092752,72.600000,70.326010
2002,66.089902,73,70.266805
2003,68.198625,72.800000,70.286989
2004,69.596996,75.400000,72.806054
2005,70.578030,75.900000,73.303167
2006,64.620779,69.100000,66.553704
2007,68.074963,73.500000,70.795904
2008,70.267713,80,77.330623
2009,70.573213,78.600000,76.610150
2010,76.235996,85.900000,83.063354
2011,76.784637,86.800000,83.908021
2012,,92,88.628564
2013,,99,96.035853
2014,,105,101.483613
2015,,115,112.449145
2016,,125,121.792461
2017,,134,135.150087
2018,,146.942700,141.517824
2019,,157.741500,144.159989
2020,,170.925400,132.851045
2021,,185.944500,142.635901
2022,,148.321600,
