"Year","PNG production Eora 199.082","PNG consumption Eora 199.082","PNG net_trade Eora 199.082"
1990,2.310000,3.153846,0.843846
1991,2.220000,3.137028,0.917028
1992,2.260000,4.658165,2.398165
1993,2.250000,7.941879,5.691879
1994,1.590000,6.602763,5.012763
1995,1.820000,2.176987,0.356987
1996,1.920000,8.604097,6.684097
1997,1.920000,2.395570,0.475570
1998,2.680000,2.602484,-0.077516
1999,2.000000,2.099646,0.099646
2000,2.270000,2.122420,-0.147580
2001,2.410000,2.266791,-0.143209
2002,3.010000,2.640558,-0.369442
2003,3.310000,2.894650,-0.415350
2004,3.670000,3.253799,-0.416201
2005,4.370000,3.773483,-0.596517
2006,4.440000,4.048854,-0.391146
2007,3.850000,3.886192,0.036192
2008,3.730000,3.950876,0.220876
2009,3.120000,3.639622,0.519622
2010,3.080000,3.820754,0.740754
2011,3.660000,4.707789,1.047789
2012,4.970000,5.800900,0.830900
2013,6.080000,6.215215,0.135215
2014,4.440000,5.069973,0.629973
2015,3.780000,4.561169,0.781169
2016,3.710000,5.447855,1.737855
2017,3.720000,5.268667,1.548667
2018,3.870306,5.854077,1.983771
2019,4.074780,5.882026,1.807246
2020,4.462573,6.819144,2.356571
2021,4.917394,6.966108,2.048714
2022,,,
