"Year","AZE production Eora 199.082 (2023)","AZE production GCB 2023v26","AZE consumption Eora 199.082 (2023)","AZE consumption GCB 2023v26"
1970,31.100000,,22.198340,
1971,34.100000,,20.826550,
1972,36.700000,,17.669030,
1973,39.500000,,16.989020,
1974,42.200000,,21.968980,
1975,44.800000,,30.892770,
1976,46.500000,,36.237970,
1977,48.400000,,43.849330,
1978,51.700000,,44.987990,
1979,51.800000,,46.572530,
1980,53.200000,,47.753110,
1981,54.300000,,48.750580,
1982,55.100000,,49.727970,
1983,55.900000,,50.131890,
1984,55.800000,,46.359520,
1985,57.400000,,54.080010,
1986,56.900000,,17.436910,
1987,59.200000,,11.959280,
1988,60.800000,,46.900510,
1989,60.400000,,59.376630,
1990,57.100000,51.151204,56.341780,28.016616
1991,53,49.752200,51.051180,21.363630
1992,46.700000,56.174400,40.733840,13.263803
1993,39.400000,48.406098,31.882390,24.018240
1994,34.500000,41.944854,29.088350,18.929277
1995,36.800000,33.309350,34.367120,23.203863
1996,30.200000,31.242309,28.734640,28.304931
1997,29.200000,29.842897,26.443850,25.621734
1998,28.800000,31.784873,25.905830,30.199457
1999,28.200000,28.821594,24.934950,26.870393
2000,29.300000,29.765311,24.449550,23.812045
2001,29.200000,28.415461,24.213240,25.190906
2002,29.600000,28.570334,24.628870,30.081517
2003,31.400000,30.487388,27.356610,33.931930
2004,33.400000,32.253039,28.565800,40.272293
2005,36.200000,34.193200,29.324190,35.168352
2006,39.600000,34.521826,30.758640,36.911021
2007,30.200000,30.036785,24.463010,30.756118
2008,36,33.036512,29.172750,33.771252
2009,30.500000,29.102576,28.244580,31.882989
2010,30.100000,27.549051,27.766470,30.249615
2011,31.700000,30.209808,29.105890,32.316430
2012,33.200000,32.773342,30.530310,35.634016
2013,36.500000,33.555224,34.695100,36.352156
2014,38.700000,34.348425,35.944900,37.267059
2015,42.300000,34.682951,38.929060,37.169412
2016,42,34.727329,43.998020,35.518237
2017,41.200000,34.607043,41.584490,34.263277
2018,43.943870,34.575827,44.426160,35.343272
2019,44.992250,37.737895,45.262030,37.895484
2020,46.133790,36.149228,46.499630,37.781004
2021,47.257060,38.305048,47.179890,38.849298
2022,49.112880,,48.542820,
