"Year","SAU production OECDv2","SAU production Eora 199.082 (2023)","SAU production FIGARO April 2022","SAU production GCB 2023v26"
1970,,40.900000,,
1971,,54,,
1972,,65.600000,,
1973,,89.300000,,
1974,,92.500000,,
1975,,76.100000,,
1976,,93.600000,,
1977,,105,,
1978,,101,,
1979,,118,,
1980,,143,,
1981,,140,,
1982,,126,,
1983,,126,,
1984,,117,,
1985,,129,,
1986,,152,,
1987,,142,,
1988,,153,,
1989,,154,,
1990,,140,,208.496989
1991,,201,,288.545496
1992,,219,,316.174686
1993,,244,,340.642423
1994,,244,,333.642993
1995,192.436153,192,,268.131871
1996,204.748854,214,,263.325846
1997,207.419947,182,,221.670027
1998,221.387049,177,,213.156893
1999,227.437636,194,,231.482473
2000,236.187635,255,,302.328170
2001,241.119302,260,,302.702781
2002,256.782658,286,,331.979811
2003,267.864640,290,,333.990690
2004,283.902735,348,,401.013179
2005,299.297862,352,,402.847720
2006,316.427167,383,,439.116936
2007,332.574963,350,,394.102804
2008,361.503710,391,,440.343641
2009,377.734995,421,,473.214888
2010,414.091420,468,492.111233,524.604124
2011,428.557808,447,514.595139,502.926108
2012,,497,545.060289,566.825513
2013,,481,552.544575,544.563564
2014,,533,592.902496,612.841913
2015,,548,618.690335,678.849324
2016,,557,617.781341,697.420312
2017,,547,606.578785,680.853917
2018,,593.303900,582.665005,686.896295
2019,,613.244700,586.474831,707.125241
2020,,633.867500,501.926417,610.772973
2021,,654.220700,,630.649922
2022,,674.263400,,
