"Year","CHL production OECDv2","CHL production Eora 199.082 (2023)","CHL production GCB 2023v26"
1970,,25.100000,
1971,,26,
1972,,26.300000,
1973,,25.300000,
1974,,24.400000,
1975,,21.100000,
1976,,21.200000,
1977,,21.700000,
1978,,21.400000,
1979,,23.300000,
1980,,24.100000,
1981,,24.200000,
1982,,20.300000,
1983,,20.800000,
1984,,22.300000,
1985,,21.800000,
1986,,22.500000,
1987,,23,
1988,,27.600000,
1989,,33.600000,
1990,,33.700000,32.908115
1991,,32.200000,30.891809
1992,,33.500000,32.000644
1993,,35.800000,34.097848
1994,,38.800000,37.974869
1995,38.648783,41.500000,41.562529
1996,44.918615,47.200000,48.226293
1997,51.755567,54.100000,55.941975
1998,53.223528,54.600000,57.258477
1999,56.624214,58.300000,61.407950
2000,52.074462,55.300000,58.502599
2001,50.096861,50.200000,52.918384
2002,51.145581,52.100000,54.835571
2003,53.010661,53,55.100197
2004,57.698998,57.100000,59.228426
2005,58.142935,58.800000,61.127493
2006,59.856259,61.900000,64.051901
2007,65.425581,68.500000,70.476435
2008,67.806808,69.400000,70.552540
2009,65.294146,64.700000,65.959822
2010,69.843004,70,71.347521
2011,76.061028,76.900000,78.071466
2012,,78.800000,79.620828
2013,,81,81.736816
2014,,83.200000,77.589861
2015,,85.500000,81.782159
2016,,87.900000,84.250497
2017,,86.800000,84.138253
2018,,98.572160,84.438872
2019,,108.155100,91.977097
2020,,118.583100,80.178164
2021,,123.714400,88.924941
2022,,118.536300,
