"Year","MWI production Eora 199.082 (2023)","MWI production GCB 2023v26"
1970,0.469000,
1971,0.518000,
1972,0.558000,
1973,0.592000,
1974,0.566000,
1975,0.597000,
1976,0.602000,
1977,0.655000,
1978,0.686000,
1979,0.660000,
1980,0.732000,
1981,0.631000,
1982,0.617000,
1983,0.598000,
1984,0.580000,
1985,0.582000,
1986,0.578000,
1987,0.573000,
1988,0.570000,
1989,0.592000,
1990,0.772000,0.740333
1991,0.830000,0.787610
1992,0.830000,0.787089
1993,0.923000,0.881995
1994,0.933000,0.901750
1995,0.945000,0.906502
1996,0.946000,0.919530
1997,0.992000,0.914855
1998,0.969000,0.901754
1999,0.967000,0.893264
2000,0.899000,0.857646
2001,0.884000,0.773253
2002,0.916000,0.856235
2003,0.982000,0.918499
2004,1,0.901678
2005,0.952000,0.848983
2006,0.989000,0.847983
2007,0.922000,0.919470
2008,1.090000,0.998373
2009,0.985000,1.013307
2010,1.200000,0.968498
2011,1.210000,1.056154
2012,1.120000,1.066113
2013,1.260000,1.145877
2014,1.300000,1.040759
2015,1.350000,1.082885
2016,1.360000,1.205613
2017,1.430000,1.229673
2018,1.479017,1.723025
2019,1.542624,1.636507
2020,1.614467,1.870757
2021,1.693913,2.074797
2022,1.703328,
