"Year","CAF production Eora 199.082 (2023)","CAF consumption Eora 199.082 (2023)","CAF net_trade Eora 199.082 (2023)"
1970,0.276000,-0.145705,-0.421705
1971,0.254000,-0.472789,-0.726789
1972,0.242000,-0.919608,-1.161608
1973,0.237000,-1.115606,-1.352606
1974,0.196000,-1.123027,-1.319027
1975,0.188000,-0.717348,-0.905348
1976,0.213000,-0.430740,-0.643740
1977,0.216000,0.236210,0.020210
1978,0.235000,0.185250,-0.049750
1979,0.197000,0.428922,0.231922
1980,0.204000,0.468206,0.264206
1981,0.233000,0.450833,0.217834
1982,0.243000,0.240745,-0.002256
1983,0.250000,-0.219600,-0.469600
1984,0.257000,-0.454468,-0.711468
1985,0.270000,0.601867,0.331867
1986,0.273000,-2.198562,-2.471562
1987,0.365000,-2.320878,-2.685878
1988,0.341000,-0.424568,-0.765568
1989,0.361000,0.715192,0.354192
1990,0.318000,0.611695,0.293695
1991,0.328000,0.599631,0.271631
1992,0.342000,-0.132386,-0.474386
1993,0.352000,-4.093901,-4.445901
1994,0.366000,-1.804764,-2.170764
1995,0.366000,0.519816,0.153816
1996,0.366000,0.324530,-0.041470
1997,0.376000,0.533503,0.157503
1998,0.379000,0.476970,0.097970
1999,0.390000,0.481287,0.091287
2000,0.392000,0.451197,0.059197
2001,0.373000,0.462154,0.089154
2002,0.372000,0.458393,0.086393
2003,0.362000,0.455638,0.093638
2004,0.378000,0.488396,0.110396
2005,0.394000,0.515940,0.121940
2006,0.404000,0.535548,0.131548
2007,0.424000,0.567256,0.143256
2008,0.430000,0.587365,0.157365
2009,0.429000,0.590597,0.161597
2010,0.450000,0.613701,0.163701
2011,0.468000,0.641852,0.173851
2012,0.483000,0.644663,0.161663
2013,0.490000,0.620253,0.130253
2014,0.488000,0.600645,0.112645
2015,0.547000,0.651344,0.104344
2016,0.561000,0.318242,-0.242758
2017,0.564000,0.261840,-0.302160
2018,0.602025,0.838700,0.236675
2019,0.629894,0.850676,0.220782
2020,0.658768,0.873195,0.214427
2021,0.689843,0.893457,0.203615
2022,0.569944,0.782462,0.212519
