"Year","PRK production Eora 199.082 (2023)","PRK consumption Eora 199.082 (2023)"
1970,121,118.184500
1971,167,162.999600
1972,144,139.913600
1973,155,150.239300
1974,160,154.358500
1975,170,164.173400
1976,172,165.574800
1977,178,170.829300
1978,163,155.099700
1979,166,156.216100
1980,170,158.128000
1981,170,157.672300
1982,174,163.037100
1983,185,173.202900
1984,198,184.417200
1985,212,198.777800
1986,228,210.815700
1987,254,232.680100
1988,289,261.910300
1989,306,278.243500
1990,183,162.519100
1991,178,155.750700
1992,156,136.496700
1993,146,121.728400
1994,135,111.196800
1995,120,94.904690
1996,99.800000,83.290510
1997,88.100000,70.236400
1998,72,58.279060
1999,71.400000,58.295470
2000,69.200000,51.649350
2001,74.300000,57.822530
2002,74.200000,56.923910
2003,75.800000,59.659870
2004,77.400000,59.820010
2005,80.600000,62.750110
2006,82,63.772450
2007,68.900000,52.219910
2008,75.600000,54.919340
2009,74,54.634370
2010,69.700000,48.280070
2011,50.800000,33.486770
2012,51.800000,34.370720
2013,38.400000,25.539980
2014,42.900000,26.980980
2015,44.500000,26.821900
2016,49.800000,46.643070
2017,51.100000,49.349740
2018,51.100000,50.114310
2019,51.100000,49.558020
2020,51.100000,49.050040
2021,51.100000,49.183800
2022,51.100000,51.617920
