"Year","KWT production Eora 199.082 (2023)","KWT production GCB 2023v26","KWT consumption Eora 199.082 (2023)","KWT consumption GCB 2023v26"
1970,25.200000,,19.295370,
1971,27.500000,,21.277020,
1972,28.200000,,21.408600,
1973,24.800000,,18.479120,
1974,19.900000,,14.392770,
1975,17.300000,,14.990590,
1976,19.400000,,19.599580,
1977,18.100000,,23.246590,
1978,21.900000,,25.306530,
1979,18.600000,,24.253770,
1980,25.700000,,31.822710,
1981,26,,32.731210,
1982,21.500000,,31.021700,
1983,22.300000,,28.695960,
1984,28.900000,,31.505370,
1985,30.400000,,40.141050,
1986,36.900000,,26.061860,
1987,33.400000,,22.445750,
1988,34.700000,,32.283730,
1989,38.100000,,42.949900,
1990,52.400000,37.807037,51.490110,39.063114
1991,489,14.916435,470.449500,22.605669
1992,22.300000,29.648394,25.359010,33.670432
1993,34.800000,49.129433,25.087640,48.116796
1994,40.600000,57.196627,33.053160,54.185043
1995,56.700000,56.127692,48.453230,53.019076
1996,51.900000,51.626873,45.657340,44.887008
1997,56.800000,56.620857,47.806520,49.220725
1998,53.800000,52.811751,46.669400,54.360362
1999,56,54.978047,46.809400,44.164806
2000,55.700000,54.889606,38.979380,33.198325
2001,59.900000,59.050695,47.582400,39.412725
2002,60.600000,59.985636,50.945100,45.278228
2003,62.400000,62.336196,53.662900,51.877321
2004,66,65.630657,56.197400,53.108728
2005,74.400000,74.426419,61.205150,65.670347
2006,76.800000,76.047152,62.905360,63.902475
2007,78.500000,77.158345,68.265030,67.748409
2008,86.100000,84.281068,74.131510,71.485313
2009,90.900000,88.716613,79.552860,76.738067
2010,93.200000,90.869914,79.760690,78.563422
2011,95.100000,87.916715,78.127410,76.014954
2012,106,101.766060,86.925040,79.606135
2013,103,83.723285,89.107490,76.584824
2014,93.200000,75.623532,83.355260,75.530257
2015,101,93.660648,89.703370,96.611998
2016,102,109.126334,88.032900,107.235035
2017,101,103.313348,87.001390,100.028975
2018,108.240900,105.547873,88.382840,103.326398
2019,110.387800,108.893453,88.843030,107.478846
2020,113.427500,97.712411,90.343750,100.093208
2021,116.341400,103.180377,91.669970,104.265322
2022,115.745300,,94.397540,
