"Year","KWT production Eora 199.082 (2023)","KWT production GCB 2023v26","KWT consumption Eora 199.082 (2023)","KWT consumption GCB 2023v26","KWT net_trade Eora 199.082 (2023)","KWT net_trade GCB 2023v26"
1970,25.200000,,19.295370,,-5.904630,
1971,27.500000,,21.277020,,-6.222980,
1972,28.200000,,21.408600,,-6.791400,
1973,24.800000,,18.479120,,-6.320880,
1974,19.900000,,14.392770,,-5.507230,
1975,17.300000,,14.990590,,-2.309410,
1976,19.400000,,19.599580,,0.199580,
1977,18.100000,,23.246590,,5.146590,
1978,21.900000,,25.306530,,3.406530,
1979,18.600000,,24.253770,,5.653770,
1980,25.700000,,31.822710,,6.122710,
1981,26,,32.731210,,6.731210,
1982,21.500000,,31.021700,,9.521700,
1983,22.300000,,28.695960,,6.395960,
1984,28.900000,,31.505370,,2.605370,
1985,30.400000,,40.141050,,9.741050,
1986,36.900000,,26.061860,,-10.838140,
1987,33.400000,,22.445750,,-10.954250,
1988,34.700000,,32.283730,,-2.416270,
1989,38.100000,,42.949900,,4.849900,
1990,52.400000,37.807037,51.490110,39.063114,-0.909890,1.256077
1991,489,14.916435,470.449500,22.605669,-18.550500,7.689235
1992,22.300000,29.648394,25.359010,33.670432,3.059010,4.022037
1993,34.800000,49.129433,25.087640,48.116796,-9.712360,-1.012637
1994,40.600000,57.196627,33.053160,54.185043,-7.546840,-3.011583
1995,56.700000,56.127692,48.453230,53.019076,-8.246770,-3.108616
1996,51.900000,51.626873,45.657340,44.887008,-6.242660,-6.739866
1997,56.800000,56.620857,47.806520,49.220725,-8.993480,-7.400132
1998,53.800000,52.811751,46.669400,54.360362,-7.130600,1.548610
1999,56,54.978047,46.809400,44.164806,-9.190600,-10.813241
2000,55.700000,54.889606,38.979380,33.198325,-16.720620,-21.691282
2001,59.900000,59.050695,47.582400,39.412725,-12.317600,-19.637970
2002,60.600000,59.985636,50.945100,45.278228,-9.654900,-14.707408
2003,62.400000,62.336196,53.662900,51.877321,-8.737100,-10.458875
2004,66,65.630657,56.197400,53.108728,-9.802600,-12.521929
2005,74.400000,74.426419,61.205150,65.670347,-13.194850,-8.756071
2006,76.800000,76.047152,62.905360,63.902475,-13.894640,-12.144676
2007,78.500000,77.158345,68.265030,67.748409,-10.234970,-9.409936
2008,86.100000,84.281068,74.131510,71.485313,-11.968490,-12.795755
2009,90.900000,88.716613,79.552860,76.738067,-11.347140,-11.978546
2010,93.200000,90.869914,79.760690,78.563422,-13.439310,-12.306491
2011,95.100000,87.916715,78.127410,76.014954,-16.972590,-11.901760
2012,106,101.766060,86.925040,79.606135,-19.074960,-22.159925
2013,103,83.723285,89.107490,76.584824,-13.892510,-7.138461
2014,93.200000,75.623532,83.355260,75.530257,-9.844740,-0.093274
2015,101,93.660648,89.703370,96.611998,-11.296630,2.951350
2016,102,109.126334,88.032900,107.235035,-13.967100,-1.891299
2017,101,103.313348,87.001390,100.028975,-13.998610,-3.284373
2018,108.240900,105.547873,88.382840,103.326398,-19.858060,-2.221475
2019,110.387800,108.893453,88.843030,107.478846,-21.544770,-1.414607
2020,113.427500,97.712411,90.343750,100.093208,-23.083750,2.380798
2021,116.341400,103.180377,91.669970,104.265322,-24.671430,1.084945
2022,115.745300,,94.397540,,-21.347760,
