"Year","GUY production Eora 199.082 (2023)","GUY consumption Eora 199.082 (2023)","GUY net_trade Eora 199.082 (2023)"
1970,2.010000,4.251551,2.241551
1971,1.910000,4.400110,2.490110
1972,1.990000,6.240561,4.250561
1973,2.300000,13.297500,10.997500
1974,1.980000,19.715380,17.735380
1975,2.320000,23.683920,21.363920
1976,2.230000,27.374200,25.144200
1977,2.420000,23.006970,20.586970
1978,2.620000,20.302700,17.682700
1979,1.940000,22.316080,20.376080
1980,2.280000,26.576410,24.296410
1981,2.290000,24.267670,21.977670
1982,1.790000,16.127310,14.337310
1983,1.590000,13.746220,12.156220
1984,1.790000,13.048320,11.258320
1985,1.810000,15.821470,14.011470
1986,1.330000,9.220447,7.890447
1987,1.670000,11.382100,9.712100
1988,1.790000,14.552800,12.762800
1989,1.510000,19.827200,18.317200
1990,1.440000,21.047290,19.607290
1991,1.450000,19.675210,18.225210
1992,1.440000,24.886200,23.446200
1993,1.440000,20.303500,18.863500
1994,1.440000,23.653120,22.213120
1995,1.470000,28.563760,27.093760
1996,1.540000,28.987510,27.447510
1997,1.690000,25.437470,23.747470
1998,1.780000,24.107690,22.327690
1999,1.730000,23.640790,21.910790
2000,1.690000,29.782500,28.092500
2001,2.100000,25.508500,23.408500
2002,1.660000,28.788880,27.128880
2003,1.670000,28.593940,26.923940
2004,1.670000,29.619510,27.949510
2005,1.470000,32.799270,31.329270
2006,1.320000,36.742880,35.422880
2007,1.600000,43.716060,42.116060
2008,1.590000,50.125770,48.535770
2009,1.600000,49.319620,47.719620
2010,1.760000,59.722800,57.962800
2011,1.820000,69.174920,67.354920
2012,2.030000,52.660460,50.630460
2013,1.980000,52.049430,50.069430
2014,2.050000,51.833410,49.783410
2015,2.040000,52.814810,50.774810
2016,2.150000,3.808163,1.658163
2017,2.170000,4.492089,2.322089
2018,2.322666,3.867667,1.545001
2019,2.429480,2.914765,0.485285
2020,5.334558,4.877028,-0.457530
2021,5.590625,4.948463,-0.642162
2022,9.083655,6.938714,-2.144941
