"Year","AGO production Eora 199.082 (2023)","AGO consumption Eora 199.082 (2023)","AGO net_trade Eora 199.082 (2023)"
1970,3.610000,2.847836,-0.762164
1971,3.430000,2.352346,-1.077654
1972,4.530000,2.861698,-1.668302
1973,4.900000,2.967136,-1.932864
1974,4.900000,2.898186,-2.001814
1975,4.440000,2.847349,-1.592651
1976,3.310000,2.097969,-1.212031
1977,3.560000,2.916265,-0.643735
1978,5.430000,4.292495,-1.137505
1979,5.520000,4.509528,-1.010472
1980,5.360000,4.420762,-0.939238
1981,5.300000,4.278584,-1.021416
1982,4.670000,3.858215,-0.811785
1983,5.140000,3.800149,-1.339851
1984,5.020000,3.436598,-1.583402
1985,4.710000,4.634356,-0.075644
1986,4.670000,1.787630,-2.882370
1987,5.830000,2.409253,-3.420747
1988,5.090000,3.909868,-1.180132
1989,4.960000,5.185293,0.225293
1990,5.130000,5.255924,0.125924
1991,5.110000,5.906629,0.796629
1992,5.210000,5.783085,0.573085
1993,5.800000,1.805613,-3.994387
1994,3.910000,2.298933,-1.611067
1995,11,7.049570,-3.950430
1996,10.500000,6.661663,-3.838337
1997,7.400000,6.364720,-1.035280
1998,7.320000,5.732406,-1.587594
1999,9.190000,5.928528,-3.261472
2000,9.570000,6.897544,-2.672456
2001,9.730000,7.737472,-1.992528
2002,12.700000,9.266330,-3.433670
2003,9.050000,8.057672,-0.992328
2004,18.800000,13.605060,-5.194940
2005,19.100000,14.106190,-4.993810
2006,22.200000,14.904180,-7.295820
2007,25.100000,19.246200,-5.853800
2008,25.600000,21.585310,-4.014690
2009,27.600000,26.844480,-0.755520
2010,28.900000,23.928530,-4.971470
2011,30.200000,24.076010,-6.123990
2012,33.300000,26.117280,-7.182720
2013,32.500000,27.272590,-5.227410
2014,34.600000,28.224790,-6.375210
2015,36.700000,29.330660,-7.369340
2016,38,35.507950,-2.492050
2017,38.800000,36.152710,-2.647290
2018,38.407840,31.828630,-6.579210
2019,39.045480,30.903680,-8.141800
2020,39.950030,31.535500,-8.414530
2021,41.187730,31.873360,-9.314370
2022,40.402060,31.702600,-8.699460
