"Year","HKG production OECDv2","HKG production Eora 199.082 (2023)","HKG production GCB 2023v26"
1970,,8.540000,
1971,,9.300000,
1972,,9.440000,
1973,,9.460000,
1974,,10.900000,
1975,,11.200000,
1976,,12.700000,
1977,,14.400000,
1978,,16,
1979,,16.100000,
1980,,16.900000,
1981,,19.100000,
1982,,20,
1983,,21.400000,
1984,,22.900000,
1985,,23.600000,
1986,,26.400000,
1987,,29,
1988,,30.200000,
1989,,31.200000,
1990,,28.400000,27.147690
1991,,29.800000,28.463072
1992,,34.200000,32.918561
1993,,36.100000,34.777844
1994,,32.600000,31.079293
1995,36.154841,32.700000,31.267054
1996,34.950349,30.300000,28.908528
1997,32.527509,31.900000,30.496981
1998,40.538620,40.400000,38.924984
1999,43.934555,44.100000,42.549016
2000,40.380525,41.800000,40.282786
2001,41.417786,39.500000,37.801699
2002,40.185673,41.200000,39.485079
2003,42.640138,44.900000,43.202329
2004,40.970829,43.300000,41.569401
2005,41.351940,45.500000,43.730550
2006,42.660233,43.600000,41.914808
2007,44.495240,45.100000,43.572438
2008,43.459714,45.300000,42.790584
2009,46.713150,43.500000,41.579400
2010,42.697997,42,40.062903
2011,46.178721,45.100000,43.149716
2012,,44.800000,42.742062
2013,,46.400000,44.306891
2014,,45.500000,45.491754
2015,,45.900000,42.399923
2016,,47,43.365783
2017,,50,42.431172
2018,,47.813510,42.600628
2019,,48.150980,41.900196
2020,,48.539410,33.497123
2021,,48.854580,32.752045
2022,,47.538720,
