"Year","BLR production Eora 199.082 (2023)","BLR production GCB 2023v26","BLR consumption Eora 199.082 (2023)","BLR consumption GCB 2023v26","BLR net_trade Eora 199.082 (2023)","BLR net_trade GCB 2023v26"
1970,58.900000,,-0.065464,,-58.965464,
1971,62.800000,,-0.136737,,-62.936737,
1972,67.100000,,-0.235479,,-67.335479,
1973,71.200000,,-0.275530,,-71.475530,
1974,75.300000,,-0.265422,,-75.565422,
1975,79.700000,,-0.162956,,-79.862955,
1976,82.500000,,-0.102167,,-82.602167,
1977,85.600000,,0.043655,,-85.556345,
1978,90.500000,,0.028979,,-90.471021,
1979,91.700000,,0.084948,,-91.615052,
1980,94.300000,,0.086688,,-94.213312,
1981,95.500000,,0.082539,,-95.417461,
1982,97,,0.035916,,-96.964084,
1983,98.600000,,-0.065711,,-98.665711,
1984,98.800000,,-0.120440,,-98.920440,
1985,103,,0.106989,,-102.893011,
1986,103,,-0.496983,,-103.496983,
1987,107,,-0.534585,,-107.534585,
1988,109,,-0.122597,,-109.122597,
1989,108,,0.112083,,-107.887917,
1990,105,108.345055,0.103083,61.737834,-104.896917,-46.607221
1991,97.900000,104.071656,0.117009,66.968960,-97.782991,-37.102696
1992,91,93.482974,-0.089704,45.340762,-91.089704,-48.142212
1993,78.500000,80.561815,-0.786714,38.231837,-79.286714,-42.329979
1994,65.200000,67.879400,-0.398519,30.283732,-65.598519,-37.595667
1995,58.500000,60.905642,0.079351,34.912473,-58.420649,-25.993170
1996,59.700000,61.734784,0.053629,48.111873,-59.646371,-13.622911
1997,63,61.588415,0.085871,45.282432,-62.914129,-16.305982
1998,59.800000,60.073448,0.083087,71.438662,-59.716913,11.365215
1999,57.400000,57.965507,0.077349,67.908041,-57.322651,9.942534
2000,55.800000,54.905983,0.079115,42.089977,-55.720885,-12.816006
2001,56,54.002982,0.078855,39.290804,-55.921145,-14.712177
2002,56.100000,53.844144,0.078011,39.265192,-56.021989,-14.578952
2003,57.500000,55.087987,0.073461,40.607189,-57.426539,-14.480798
2004,63,58.253531,0.075283,41.779947,-62.924717,-16.473583
2005,64.400000,59.310286,0.073790,43.010203,-64.326210,-16.300082
2006,69.100000,61.743587,0.089015,46.902697,-69.010985,-14.840890
2007,66.500000,60.218141,0.092610,49.355581,-66.407390,-10.862561
2008,68.700000,62.836409,0.096960,52.100780,-68.603040,-10.735628
2009,64.400000,60.577745,0.101195,56.431272,-64.298805,-4.146473
2010,68.400000,62.445120,0.103418,61.759697,-68.296582,-0.685424
2011,65.500000,61.307589,0.070111,51.056509,-65.429889,-10.251080
2012,66.400000,62.545264,0.279305,63.643414,-66.120695,1.098150
2013,68.300000,64.125556,0.369857,66.379782,-67.930143,2.254226
2014,67.900000,63.648874,0.137338,63.008335,-67.762663,-0.640539
2015,63.700000,58.798911,0.132501,60.019055,-63.567498,1.220144
2016,65.600000,58.134483,-14.335700,58.747790,-79.935700,0.613307
2017,67.600000,59.381853,-20.242010,59.915731,-87.842010,0.533878
2018,64.840700,62.156932,28.381330,63.454693,-36.459370,1.297761
2019,64.935620,62.096344,27.373450,62.992280,-37.562170,0.895936
2020,65.764030,59.055551,28.338360,58.529244,-37.425670,-0.526307
2021,66.610790,60.938197,27.675220,61.486225,-38.935570,0.548028
2022,67.118070,,27.662250,,-39.455820,
