"Year","MAR production Eora 199.082 (2023)","MAR production GCB 2023v26","MAR consumption Eora 199.082 (2023)","MAR consumption GCB 2023v26"
1970,7.170000,,7.129336,
1971,8.070000,,7.701706,
1972,7.930000,,7.255753,
1973,9.480000,,9.106122,
1974,10.900000,,11.355050,
1975,10.800000,,12.507030,
1976,11.300000,,14.714230,
1977,12.400000,,17.153900,
1978,12.800000,,17.326430,
1979,15.600000,,20.940570,
1980,15.600000,,21.176520,
1981,15.500000,,20.702530,
1982,16.600000,,20.692770,
1983,17.300000,,19.881070,
1984,17.300000,,19.340110,
1985,17.400000,,20.994500,
1986,18.400000,,16.649050,
1987,19.600000,,17.049150,
1988,20.700000,,21.323160,
1989,22.300000,,25.433420,
1990,23,22.297998,25.219020,30.530822
1991,24.400000,23.688164,26.111490,30.850853
1992,25.400000,24.736784,24.855140,35.879667
1993,27.500000,26.778886,22.463210,35.142087
1994,28.800000,28.123801,25.860630,35.762412
1995,29.700000,28.750270,28.975630,36.569074
1996,30.600000,29.524523,29.899360,33.569336
1997,31.600000,29.977577,29.939110,32.278575
1998,31.900000,30.881156,29.741980,34.966474
1999,33.200000,31.985669,30.634400,38.200927
2000,34.100000,33.199036,31.030310,38.430097
2001,37.700000,36.805697,33.372830,41.414234
2002,38.200000,37.306287,33.817600,43.183526
2003,37.400000,36.570125,33.836310,39.692652
2004,43.100000,42.225556,38.556390,45.609218
2005,45,44.660769,39.670100,47.190037
2006,46.600000,46.249416,40.679700,49.542265
2007,49.200000,48.912715,43.242350,54.276458
2008,51.600000,51.369080,46.002290,59.947948
2009,51.300000,50.859733,47.652470,57.159856
2010,54.500000,54.365200,49.520440,59.293108
2011,56,54.867636,53.915360,62.978964
2012,60.700000,56.953540,57.452300,64.074007
2013,57.300000,56.606417,55.185290,63.566687
2014,58,57.174916,55.703630,63.401765
2015,58.400000,58.495177,56.833080,63.690520
2016,58.600000,58.457476,55.360400,65.689336
2017,61.300000,61.107122,56.267040,66.670458
2018,61.257300,62.309239,58.528840,68.188386
2019,61.781700,68.743122,58.010700,72.344682
2020,61.547460,64.560780,59.230370,67.430045
2021,60.738150,72.551629,57.499050,76.080650
2022,65.740520,,61.085300,
