"Year","NZL production OECDv2","NZL production Eora 199.082 (2023)","NZL production GCB 2023v26"
1970,,13.600000,
1971,,14.200000,
1972,,15.700000,
1973,,17.700000,
1974,,18.200000,
1975,,17.700000,
1976,,19,
1977,,20.200000,
1978,,17.900000,
1979,,17,
1980,,18.500000,
1981,,16.700000,
1982,,18.300000,
1983,,18.500000,
1984,,19.700000,
1985,,22.100000,
1986,,23.100000,
1987,,24.300000,
1988,,25.600000,
1989,,25.700000,
1990,,25.700000,25.502508
1991,,26.400000,26.182470
1992,,28.400000,28.166715
1993,,28.100000,27.760955
1994,,28.300000,27.899823
1995,25.221478,28.400000,28.003231
1996,26.612357,29.700000,29.304160
1997,28.819458,31.700000,31.278305
1998,28.153737,30.300000,29.858207
1999,29.720744,31.900000,31.465164
2000,30.874193,32.700000,32.245506
2001,32.753379,34.900000,34.378540
2002,32.821370,35,34.541607
2003,33.454387,36.700000,36.240993
2004,33.267224,36.300000,35.835677
2005,33.675060,38,37.423410
2006,33.821750,37.900000,37.329523
2007,32.694613,37,36.409843
2008,33.736949,38,37.508387
2009,30.908786,35.200000,34.619915
2010,30.765625,35.400000,34.810384
2011,30.151590,34.700000,34.265072
2012,,36.400000,35.944246
2013,,35.700000,35.240225
2014,,36,35.438009
2015,,36.200000,35.812137
2016,,34.700000,34.153005
2017,,36.400000,35.687181
2018,,35.317060,35.704197
2019,,33.861920,36.878936
2020,,33.001450,34.237325
2021,,32.327150,34.318003
2022,,36.468240,
