"Year","LAO production Eora 199.082 (2023)","LAO production GCB 2023v26"
1970,0.580000,
1971,0.429000,
1972,0.496000,
1973,0.525000,
1974,0.302000,
1975,0.262000,
1976,0.232000,
1977,0.240000,
1978,0.240000,
1979,0.233000,
1980,0.197000,
1981,0.161000,
1982,0.167000,
1983,0.189000,
1984,0.193000,
1985,0.212000,
1986,0.220000,
1987,0.220000,
1988,0.220000,
1989,0.246000,
1990,0.228000,0.512960
1991,0.247000,0.545936
1992,0.269000,0.592727
1993,0.269000,0.607425
1994,0.288000,0.634264
1995,0.362000,0.670900
1996,0.485000,0.749891
1997,0.618000,0.792409
1998,0.695000,0.820068
1999,0.935000,0.845838
2000,0.948000,0.960400
2001,0.883000,1.062694
2002,1.140000,1.165768
2003,1.090000,1.220964
2004,1.390000,1.282484
2005,1.400000,1.337012
2006,1.530000,1.757335
2007,0.885000,1.835383
2008,0.920000,2.131341
2009,1.160000,2.667456
2010,1.520000,3.004513
2011,1.490000,3.170104
2012,1.530000,3.397982
2013,1.420000,4.261159
2014,1.690000,4.449693
2015,1.770000,9.229252
2016,1.880000,16.458121
2017,1.910000,19.683847
2018,1.914053,20.558106
2019,2.048699,19.534333
2020,2.187386,19.674887
2021,2.341162,23.358925
2022,1.436720,
