"Year","World","RoW","China","USA","India","EU27"
2000,4.133621,3.590661,2.870088,21.397859,0.933022,8.419518
2001,4.107635,3.580970,2.912365,20.766743,0.928843,8.533096
2002,4.144280,3.562473,3.184619,20.718020,0.940917,8.507728
2003,4.307030,3.651898,3.735178,20.718427,0.956657,8.659768
2004,4.399256,3.716048,4.001966,20.873742,0.998785,8.644059
2005,4.493561,3.732252,4.489976,20.718829,1.035263,8.594708
2006,4.585831,3.777398,4.921031,20.236742,1.102690,8.611774
2007,4.661509,3.800049,5.260667,20.280469,1.170331,8.471200
2008,4.682571,3.799138,5.617249,19.409170,1.233818,8.267794
2009,4.545518,3.649867,5.870657,17.810670,1.316438,7.574651
2010,4.744937,3.791960,6.370445,18.225420,1.349863,7.771805
2011,4.848876,3.837302,6.998823,17.634141,1.399984,7.536821
2012,4.854014,3.866834,7.131918,16.812391,1.507019,7.372448
2013,4.837742,3.810702,7.209799,17.098570,1.539815,7.180229
2014,4.804597,3.772723,7.187589,17.118916,1.636889,6.860278
2015,4.739116,3.734699,7.060955,16.461394,1.680554,6.971909
2016,4.682487,3.704289,6.942884,15.934659,1.750474,6.955351
2017,4.705259,3.719750,7.080384,15.639208,1.784068,6.996820
2018,4.752195,3.702159,7.291561,16.000991,1.887906,6.829695
2019,4.747814,3.707299,7.526070,15.500492,1.879854,6.493405
2020,4.457744,3.400083,7.640750,13.816894,1.727293,5.866867
2021,4.634748,3.487128,7.910899,14.758025,1.892074,6.257387
2022,4.678452,3.468479,8.217777,14.802047,1.986169,6.094108
2023,4.707772,3.483449,8.556262,14.319450,2.129769,5.514158
2024,4.729075,3.511049,8.658390,14.197286,2.200978,5.388372
2025,4.722092,3.494205,8.692544,14.357553,2.206033,5.407989
