"Year","OECD_production","OECD_consumption","Non-OECD_production","Non-OECD_consumption","transfers"
1990,12.168955,14.846003,10.015319,7.338271,2.677049
1991,12.159382,14.657241,10.503539,8.005681,2.497859
1992,12.209668,13.980857,9.756939,7.985749,1.771190
1993,12.280284,13.917654,9.912154,8.274783,1.637371
1994,12.464821,13.956832,9.924948,8.432937,1.492011
1995,12.618444,14.064135,10.280936,8.835246,1.445690
1996,13.010774,14.354483,10.554187,9.210478,1.343709
1997,13.094514,14.226803,10.582523,9.450235,1.132288
1998,13.106184,14.323394,10.443275,9.226064,1.217211
1999,13.218158,14.460888,10.846194,9.603463,1.242731
2000,13.566312,14.939954,11.161652,9.788010,1.373642
2001,13.506634,14.972637,11.408856,9.942854,1.466003
2002,13.600547,15.105864,11.867939,10.362622,1.505317
2003,13.832195,15.566780,12.991236,11.256651,1.734585
2004,13.964756,15.799006,13.741802,11.907552,1.834251
2005,14.032016,16.056774,14.627707,12.602949,2.024758
2006,13.984595,16.131641,15.618962,13.471916,2.147046
2007,14.113121,16.184073,16.337882,14.266929,2.070953
2008,13.763604,15.790057,17.227875,15.201422,2.026453
2009,12.903680,14.567155,17.595284,15.931810,1.663474
2010,13.333024,15.078465,18.912618,17.167176,1.745442
2011,13.190692,14.882989,20.183241,18.490945,1.692296
2012,13.033554,14.577572,20.827088,19.283071,1.544018
2013,13.103017,14.430179,21.062607,19.735445,1.327162
2014,12.916727,14.197342,21.433120,20.152505,1.280614
2015,12.784855,13.863410,21.466054,20.387499,1.078555
2016,12.642560,13.789532,21.581191,20.434220,1.146972
2017,12.616805,13.752478,22.156690,21.021017,1.135673
2018,12.695310,13.876146,22.802318,21.621481,1.180837
2019,12.354338,13.577750,23.492655,22.269243,1.223412
2020,11.261904,12.559518,23.056775,21.759161,1.297614
2021,11.891884,13.309448,24.095897,22.678333,1.417564
2022,11.777384,13.357971,24.784718,23.204132,1.580587
2023,11.369886,13.003413,25.641404,24.007877,1.633527
