"Year","Electricity generation","Pulp, paper and print","Manufacturing industries and construction: Other","Cars","Residential: Stationary combustion","All other Manufacturing industries and construction","All other Transport","All other Other sectors","All others"
1990,4.081289,5.058192,0.215984,0,32.994627,0.899381,0,0.787507,0.075338
1991,4.451900,5.058192,0.247217,0,39.166709,0.927406,0,0.809525,0.079556
1992,4.760897,5.302802,0.093299,0.007752,37.707149,0.924023,0.002054,0.835650,0.090968
1993,5.216843,3.576620,1.376407,0.066578,36.374040,1.172541,0.019935,0.873792,0.085813
1994,5.283683,4.072208,1.299693,0.133176,31.475202,1.183550,0.110366,0.867449,0.088476
1995,5.477867,3.958536,1.447848,0.209476,31.930501,1.085472,0.241506,0.841812,0.115472
1996,6.001407,3.959221,1.277423,0.318083,34.949573,0.823903,0.335976,0.809611,0.109491
1997,6.244348,4.061863,1.689427,0.413482,30.599555,0.850171,0.392807,0.817235,0.093153
1998,6.280794,4.213095,1.347288,0.415143,30.692779,0.784896,0.350558,0.840821,0.080150
1999,6.974660,3.971739,1.177401,0.422984,28.999541,0.910165,0.373410,0.865043,0.095957
2000,7.377579,3.898741,1.286303,0.493074,27.351940,0.894771,0.453953,0.961135,0.100172
2001,7.935221,4.047696,0.915413,0.506729,27.948289,1.092223,0.439946,0.998148,0.097484
2002,8.501490,4.169029,0.824996,0.513475,25.808217,1.261078,0.429301,1.122765,0.159280
2003,8.867206,4.696690,0.389387,0.511963,27.779146,1.300773,0.431164,1.131607,0.198610
2004,9.354059,4.427213,0.732126,0.525550,27.907689,1.307623,0.434640,1.184902,0.183670
2005,9.120732,5.021155,1.626302,0.906026,27.154608,2.336684,0.753864,1.284993,0.182017
2006,9.132284,4.633771,0.156388,1.141879,25.078109,2.422764,0.860746,1.139670,0.253768
2007,9.162423,4.797806,1.477033,2.303659,23.906283,2.882478,1.728841,1.352237,0.265997
2008,9.431890,4.661578,1.314691,3.782129,25.542447,3.384577,2.739566,1.450965,0.324580
2009,9.995824,4.079370,2.221910,4.058550,26.270836,2.877211,2.878454,1.682425,0.486918
2010,10.412170,5.655351,2.367522,4.004757,29.619069,3.051640,2.812618,1.733824,0.622860
2011,10.919428,5.600281,1.348896,3.903933,23.481301,2.318430,2.749578,1.594942,0.691288
2012,11.234824,5.186791,1.593872,4.073118,27.805654,2.851619,2.825603,2.299141,0.871434
2013,11.410487,4.844245,2.211821,4.048854,30.608749,3.324274,2.813901,2.782402,1.437876
2014,11.578539,4.857572,1.967007,4.441337,24.062272,3.236045,3.103807,2.703922,1.702942
2015,11.575662,4.891637,2.373708,4.513145,25.743297,3.683668,3.161535,2.954052,2.231505
2016,11.557333,5.269113,2.671232,4.674102,27.955054,3.907488,3.292451,3.191457,2.781532
2017,11.813472,5.878571,2.515752,4.965153,27.090269,3.268454,3.552089,3.325323,2.964289
2018,11.903537,5.914943,2.823248,5.024249,26.322723,3.498198,3.650630,3.434355,2.981794
2019,11.753601,6.341207,2.436475,5.028481,26.381474,3.652855,3.659153,3.726451,3.289748
2020,11.531958,6.050872,2.450950,4.055521,24.015740,4.083576,3.167349,3.857770,3.135361
2021,11.946889,5.968808,3.009927,4.834485,28.291120,3.843584,3.741282,4.332930,3.867198
2022,12.002478,5.730784,3.488647,4.803991,25.101052,4.954485,3.251939,4.393464,3.568609
2023,12.533290,5.294951,4.088393,5.182501,25.364347,4.796678,3.619238,4.863664,3.769290
2024,13.007694,6.781648,5.258073,5.414163,24.897889,5.743107,3.746385,5.251246,3.409163
